PokemonName,MoveName,Level
Servine,Leaf Tornado,16
Servine,Leech Seed,20
Servine,Mega Drain,24
Servine,Slam,28
Servine,Leaf Blade,32
Servine,Coil,36
Servine,Giga Drain,40
Servine,Wring Out,44
Servine,Gastro Acid,48
Servine,Leaf Storm,52
Serperior,Leer,4
Serperior,Vine Whip,7
Serperior,Wrap,10
Serperior,Growth,13
Serperior,Leaf Tornado,16
Serperior,Leech Seed,20
Serperior,Mega Drain,24
Serperior,Slam,28
Serperior,Leaf Blade,32
Serperior,Coil,38
Serperior,Giga Drain,44
Serperior,Wring Out,50
Serperior,Gastro Acid,56
Serperior,Leaf Storm,62
Charmander,Scratch,1
Charmander,Growl,3
Charmander,Ember,7
Charmander,Smokescreen,10
Charmander,Dragon Rage,16
Charmander,Scary Face,19
Charmander,Fire Fang,25
Charmander,Flame Burst,28
Charmander,Slash,34
Charmander,Flamethrower,37
Charmander,Fire Spin,43
Charmander,Inferno,46
Charmeleon,Ember,7
Charmeleon,Smokescreen,10
Charmeleon,Dragon Rage,17
Charmeleon,Scary Face,21
Charmeleon,Fire Fang,28
Charmeleon,Flame Burst,32
Charmeleon,Slash,39
Charmeleon,Flamethrower,43
Charmeleon,Fire Spin,50
Charmeleon,Inferno,54
Charizard,Ember,7
Charizard,Smokescreen,10
Charizard,Dragon Rage,17
Charizard,Scary Face,21
Charizard,Fire Fang,28
Charizard,Flame Burst,32
Charizard,Wing Attack,36
Charizard,Slash,41
Charizard,Flamethrower,47
Charizard,Fire Spin,56
Charizard,Inferno,62
Charizard,Heat Wave,71
Charizard,Flare Blitz,77
Cyndaquil,Tackle,1
Cyndaquil,Leer,1
Cyndaquil,Smokescreen,6
Cyndaquil,Ember,10
Cyndaquil,Quick Attack,13
Cyndaquil,Flame Wheel,19
Cyndaquil,Defense Curl,22
Cyndaquil,Flame Charge,28
Cyndaquil,Swift,31
Cyndaquil,Lava Plume,37
Cyndaquil,Flamethrower,40
Cyndaquil,Inferno,46
Cyndaquil,Rollout,49
Cyndaquil,Double-Edge,55
Cyndaquil,Eruption,58
Quilava,Smokescreen,6
Quilava,Ember,10
Quilava,Quick Attack,13
Quilava,Flame Wheel,20
Quilava,Defense Curl,24
Quilava,Swift,31
Quilava,Flame Charge,35
Quilava,Lava Plume,42
Quilava,Flamethrower,46
Quilava,Inferno,53
Quilava,Rollout,57
Quilava,Double-Edge,64
Quilava,Eruption,68
Typhlosion,Smokescreen,6
Typhlosion,Ember,10
Typhlosion,Quick Attack,13
Typhlosion,Flame Wheel,20
Typhlosion,Defense Curl,24
Typhlosion,Swift,31
Typhlosion,Flame Charge,35
Typhlosion,Lava Plume,43
Typhlosion,Flamethrower,48
Typhlosion,Rollout,61
Typhlosion,Double-Edge,69
Typhlosion,Eruption,74
Torchic,Growl,1
Torchic,Scratch,1
Torchic,Focus Energy,7
Torchic,Ember,10
Torchic,Peck,16
Torchic,Sand Attack,19
Torchic,Fire Spin,25
Torchic,Quick Attack,28
Torchic,Slash,34
Torchic,Mirror Move,37
Torchic,Flamethrower,43
Combusken,Focus Energy,7
Combusken,Ember,13
Combusken,Double Kick,16
Combusken,Peck,17
Combusken,Sand Attack,21
Combusken,Bulk Up,28
Combusken,Quick Attack,32
Combusken,Slash,39
Combusken,Mirror Move,43
Combusken,Sky Uppercut,50
Combusken,Flare Blitz,54
Blaziken,Focus Energy,7
Blaziken,Ember,13
Blaziken,Double Kick,16
Blaziken,Peck,17
Blaziken,Sand Attack,21
Blaziken,Bulk Up,28
Blaziken,Quick Attack,32
Blaziken,Blaze Kick,36
Blaziken,Slash,42
Blaziken,Brave Bird,49
Blaziken,Sky Uppercut,59
Blaziken,Flare Blitz,66
Chimchar,Leer,1
Chimchar,Scratch,1
Chimchar,Ember,7
Chimchar,Taunt,9
Chimchar,Fury Swipes,15
Chimchar,Flame Wheel,17
Chimchar,Nasty Plot,23
Chimchar,Torment,25
Chimchar,Facade,31
Chimchar,Fire Spin,33
Chimchar,Acrobatics,39
Chimchar,Slack Off,41
Chimchar,Flamethrower,47
Monferno,Ember,7
Monferno,Taunt,9
Monferno,Mach Punch,15
Monferno,Fury Swipes,16
Monferno,Flame Wheel,19
Monferno,Feint,26
Monferno,Torment,29
Monferno,Close Combat,36
Monferno,Fire Spin,39
Monferno,Acrobatics,46
Monferno,Slack Off,49
Monferno,Flare Blitz,56
Infernape,Ember,7
Infernape,Taunt,9
Infernape,Mach Punch,15
Infernape,Fury Swipes,16
Infernape,Flame Wheel,19
Infernape,Feint,26
Infernape,Punishment,29
Infernape,Close Combat,36
Infernape,Fire Spin,42
Infernape,Acrobatics,52
Infernape,Calm Mind,58
Infernape,Flare Blitz,68
Tepig,Tackle,1
Tepig,Tail Whip,3
Tepig,Ember,7
Tepig,Odor Sleuth,9
Tepig,Defense Curl,13
Tepig,Flame Charge,15
Tepig,Smog,19
Tepig,Rollout,21
Tepig,Take Down,25
Tepig,Heat Crash,27
Tepig,Assurance,31
Tepig,Flamethrower,33
Tepig,Head Smash,37
Tepig,Roar,39
Tepig,Flare Blitz,43
Pignite,Tail Whip,3
Pignite,Ember,7
Pignite,Odor Sleuth,9
Pignite,Defense Curl,13
Pignite,Flame Charge,15
Pignite,Arm Thrust,17
Pignite,Smog,20
Pignite,Rollout,23
Pignite,Take Down,28
Pignite,Heat Crash,31
Pignite,Assurance,36
Pignite,Flamethrower,39
Pignite,Head Smash,44
Pignite,Roar,47
Pignite,Flare Blitz,52
Emboar,Tail Whip,3
Emboar,Ember,7
Emboar,Odor Sleuth,9
Emboar,Defense Curl,13
Emboar,Flame Charge,15
Emboar,Arm Thrust,17
Emboar,Smog,20
Emboar,Rollout,23
Emboar,Take Down,28
Emboar,Heat Crash,31
Emboar,Assurance,38
Emboar,Flamethrower,43
Emboar,Head Smash,50
Emboar,Roar,55
Emboar,Flare Blitz,62
Squirtle,Tackle,1
Squirtle,Tail Whip,4
Squirtle,Bubble,7
Squirtle,Withdraw,10
Squirtle,Water Gun,13
Squirtle,Bite,16
Squirtle,Rapid Spin,19
Squirtle,Protect,22
Squirtle,Water Pulse,25
Squirtle,Aqua Tail,28
Squirtle,Skull Bash,31
Squirtle,Iron Defense,34
Squirtle,Rain Dance,37
Squirtle,Hydro Pump,40
Wartortle,Tail Whip,4
Wartortle,Bubble,7
Wartortle,Withdraw,10
Wartortle,Water Gun,13
Wartortle,Bite,16
Wartortle,Rapid Spin,20
Wartortle,Protect,24
Wartortle,Water Pulse,28
Wartortle,Aqua Tail,32
Wartortle,Skull Bash,36
Wartortle,Iron Defense,40
Wartortle,Rain Dance,44
Wartortle,Hydro Pump,48
Blastoise,Tail Whip,4
Blastoise,Bubble,7
Blastoise,Withdraw,10
Blastoise,Water Gun,13
Blastoise,Bite,16
Blastoise,Rapid Spin,20
Blastoise,Protect,24
Blastoise,Water Pulse,28
Blastoise,Aqua Tail,32
Blastoise,Skull Bash,39
Blastoise,Iron Defense,46
Blastoise,Rain Dance,53
Blastoise,Hydro Pump,60
Totodile,Leer,1
Totodile,Scratch,1
Totodile,Water Gun,6
Totodile,Rage,8
Totodile,Bite,13
Totodile,Scary Face,15
Totodile,Ice Fang,20
Totodile,Flail,22
Totodile,Crunch,27
Totodile,Chip Away,29
Totodile,Slash,34
Totodile,Screech,36
Totodile,Thrash,41
Totodile,Aqua Tail,43
Totodile,Superpower,48
Totodile,Hydro Pump,50
Croconaw,Water Gun,6
Croconaw,Rage,8
Croconaw,Bite,13
Croconaw,Scary Face,15
Croconaw,Ice Fang,21
Croconaw,Flail,24
Croconaw,Crunch,30
Croconaw,Chip Away,33
Croconaw,Slash,39
Croconaw,Screech,42
Croconaw,Thrash,48
Croconaw,Aqua Tail,51
Croconaw,Superpower,57
Croconaw,Hydro Pump,60
Feraligatr,Water Gun,6
Feraligatr,Rage,8
Feraligatr,Bite,13
Feraligatr,Scary Face,15
Feraligatr,Ice Fang,21
Feraligatr,Flail,24
Feraligatr,Agility,30
Feraligatr,Crunch,32
Feraligatr,Chip Away,37
Feraligatr,Slash,45
Feraligatr,Screech,50
Feraligatr,Thrash,58
Feraligatr,Aqua Tail,63
Feraligatr,Superpower,71
Feraligatr,Hydro Pump,76
Mudkip,Growl,1
Mudkip,Tackle,1
Mudkip,Mud-Slap,6
Mudkip,Water Gun,10
Mudkip,Bide,15
Mudkip,Foresight,19
Mudkip,Mud Sport,24
Mudkip,Take Down,28
Mudkip,Whirlpool,33
Mudkip,Protect,37
Mudkip,Hydro Pump,42
Mudkip,Endeavor,46
Marshtomp,Mud-Slap,6
Marshtomp,Water Gun,10
Marshtomp,Bide,15
Marshtomp,Mud Shot,16
Marshtomp,Foresight,20
Marshtomp,Mud Bomb,25
Marshtomp,Take Down,31
Marshtomp,Muddy Water,37
Marshtomp,Protect,42
Marshtomp,Earthquake,46
Marshtomp,Endeavor,53
Swampert,Mud-Slap,6
Swampert,Water Gun,10
Swampert,Bide,15
Swampert,Mud Shot,16
Swampert,Foresight,20
Swampert,Mud Bomb,25
Swampert,Take Down,31
Swampert,Muddy Water,39
Swampert,Protect,46
Swampert,Earthquake,52
Swampert,Endeavor,61
Swampert,Hammer Arm,69
Piplup,Pound,1
Piplup,Growl,4
Piplup,Bubble,8
Piplup,Water Sport,11
Piplup,Peck,15
Piplup,Bubble Beam,19
Piplup,Bide,24
Piplup,Fury Attack,28
Piplup,Brine,33
Piplup,Whirlpool,37
Piplup,Mist,42
Piplup,Drill Peck,46
Piplup,Hydro Pump,51
Prinplup,Growl,4
Prinplup,Bubble,8
Prinplup,Water Sport,11
Prinplup,Peck,15
Prinplup,Metal Claw,16
Prinplup,Bubble Beam,19
Prinplup,Bide,24
Prinplup,Fury Attack,28
Prinplup,Brine,33
Prinplup,Whirlpool,37
Prinplup,Mist,42
Prinplup,Drill Peck,46
Prinplup,Hydro Pump,51
Empoleon,Growl,4
Empoleon,Bubble,8
Empoleon,Swords Dance,11
Empoleon,Peck,15
Empoleon,Metal Claw,16
Empoleon,Bubble Beam,19
Empoleon,Swagger,24
Empoleon,Fury Attack,28
Empoleon,Brine,33
Empoleon,Aqua Jet,36
Empoleon,Whirlpool,39
Empoleon,Mist,46
Empoleon,Drill Peck,52
Empoleon,Hydro Pump,59
Oshawott,Tackle,1
Oshawott,Tail Whip,5
Oshawott,Water Gun,7
Oshawott,Water Sport,11
Oshawott,Focus Energy,13
Oshawott,Razor Shell,17
Oshawott,Fury Cutter,19
Oshawott,Water Pulse,23
Oshawott,Revenge,25
Oshawott,Aqua Jet,29
Oshawott,Encore,31
Oshawott,Aqua Tail,35
Oshawott,Retaliate,37
Oshawott,Swords Dance,41
Oshawott,Hydro Pump,43
Dewott,Tail Whip,5
Dewott,Water Gun,7
Dewott,Water Sport,11
Dewott,Focus Energy,13
Dewott,Razor Shell,17
Dewott,Fury Cutter,20
Dewott,Water Pulse,25
Dewott,Revenge,28
Dewott,Aqua Jet,33
Dewott,Encore,36
Dewott,Aqua Tail,41
Dewott,Retaliate,44
Dewott,Swords Dance,49
Dewott,Hydro Pump,52
Samurott,Tail Whip,5
Samurott,Water Gun,7
Samurott,Water Sport,11
Samurott,Focus Energy,13
Samurott,Razor Shell,17
Samurott,Fury Cutter,20
Samurott,Water Pulse,25
Samurott,Revenge,28
Samurott,Aqua Jet,33
Samurott,Slash,36
Samurott,Encore,38
Samurott,Aqua Tail,45
Samurott,Retaliate,50
Samurott,Swords Dance,57
Samurott,Hydro Pump,62
Caterpie,String Shot,1
Caterpie,Tackle,1
Caterpie,Bug Bite,15
Metapod,Harden,7
Butterfree,Confusion,10
Butterfree,Poison Powder,12
Butterfree,Sleep Powder,12
Butterfree,Stun Spore,12
Butterfree,Gust,16
Butterfree,Supersonic,18
Butterfree,Whirlwind,22
Butterfree,Psybeam,24
Butterfree,Silver Wind,28
Butterfree,Tailwind,30
Butterfree,Rage Powder,34
Butterfree,Safeguard,36
Butterfree,Captivate,40
Butterfree,Bug Buzz,42
Butterfree,Quiver Dance,46
Weedle,Poison Sting,1
Weedle,String Shot,1
Weedle,Bug Bite,15
Kakuna,Harden,7
Beedrill,Fury Attack,10
Beedrill,Focus Energy,13
Beedrill,Twineedle,16
Beedrill,Rage,19
Beedrill,Pursuit,22
Beedrill,Toxic Spikes,25
Beedrill,Pin Missile,28
Beedrill,Agility,31
Beedrill,Assurance,34
Beedrill,Poison Jab,37
Beedrill,Endeavor,40
Beedrill,Fell Stinger,45
Sewaddle,String Shot,1
Sewaddle,Tackle,1
Sewaddle,Bug Bite,8
Sewaddle,Razor Leaf,15
Sewaddle,Struggle Bug,22
Sewaddle,Endure,29
Sewaddle,Bug Buzz,36
Sewaddle,Flail,43
Swadloon,Protect,20
Leavanny,Bug Bite,8
Leavanny,Razor Leaf,15
Leavanny,Struggle Bug,22
Leavanny,Slash,30
Leavanny,Helping Hand,32
Leavanny,Leaf Blade,36
Leavanny,X-Scissor,39
Leavanny,Entrainment,43
Leavanny,Swords Dance,46
Leavanny,Leaf Storm,50
Venipede,Defense Curl,1
Venipede,Poison Sting,5
Venipede,Screech,8
Venipede,Pursuit,12
Venipede,Protect,15
Venipede,Poison Tail,19
Venipede,Bug Bite,22
Venipede,Venoshock,26
Venipede,Agility,29
Venipede,Steamroller,33
Venipede,Toxic,36
Venipede,Rock Climb,40
Venipede,Double-Edge,43
Whirlipede,Poison Sting,5
Whirlipede,Screech,8
Whirlipede,Pursuit,12
Whirlipede,Protect,15
Whirlipede,Poison Tail,19
Whirlipede,Iron Defense,22
Whirlipede,Bug Bite,23
Whirlipede,Venoshock,28
Whirlipede,Agility,32
Whirlipede,Steamroller,37
Whirlipede,Toxic,41
Whirlipede,Rock Climb,46
Whirlipede,Double-Edge,50
Scolipede,Poison Sting,5
Scolipede,Screech,8
Scolipede,Pursuit,12
Scolipede,Protect,15
Scolipede,Poison Tail,19
Scolipede,Bug Bite,23
Scolipede,Venoshock,28
Scolipede,Baton Pass,30
Scolipede,Agility,33
Scolipede,Steamroller,39
Scolipede,Toxic,44
Scolipede,Rock Climb,50
Scolipede,Double-Edge,55
Scolipede,Megahorn,65
Wurmple,String Shot,1
Wurmple,Tackle,1
Wurmple,Poison Sting,5
Wurmple,Bug Bite,15
Silcoon,Harden,7
Beautifly,Absorb,10
Beautifly,Gust,13
Beautifly,Stun Spore,17
Beautifly,Morning Sun,20
Beautifly,Mega Drain,24
Beautifly,Whirlwind,27
Beautifly,Attract,31
Beautifly,Silver Wind,34
Beautifly,Giga Drain,38
Beautifly,Bug Buzz,41
Beautifly,Quiver Dance,45
Cascoon,Harden,7
Dustox,Confusion,10
Dustox,Gust,13
Dustox,Protect,17
Dustox,Moonlight,20
Dustox,Psybeam,24
Dustox,Whirlwind,27
Dustox,Light Screen,31
Dustox,Silver Wind,34
Dustox,Toxic,38
Dustox,Bug Buzz,41
Dustox,Quiver Dance,45
Pidgey,Tackle,1
Pidgey,Sand Attack,5
Pidgey,Gust,9
Pidgey,Quick Attack,13
Pidgey,Whirlwind,17
Pidgey,Twister,21
Pidgey,Feather Dance,25
Pidgey,Agility,29
Pidgey,Wing Attack,33
Pidgey,Roost,37
Pidgey,Tailwind,41
Pidgey,Mirror Move,45
Pidgey,Air Slash,49
Pidgey,Hurricane,53
Pidgeotto,Sand Attack,5
Pidgeotto,Gust,9
Pidgeotto,Quick Attack,13
Pidgeotto,Whirlwind,17
Pidgeotto,Twister,22
Pidgeotto,Feather Dance,27
Pidgeotto,Agility,32
Pidgeotto,Wing Attack,37
Pidgeotto,Roost,42
Pidgeotto,Tailwind,47
Pidgeotto,Mirror Move,52
Pidgeotto,Air Slash,57
Pidgeotto,Hurricane,62
Pidgeot,Sand Attack,5
Pidgeot,Gust,9
Pidgeot,Quick Attack,13
Pidgeot,Whirlwind,17
Pidgeot,Twister,22
Pidgeot,Feather Dance,27
Pidgeot,Agility,32
Pidgeot,Wing Attack,38
Pidgeot,Roost,44
Pidgeot,Tailwind,50
Pidgeot,Mirror Move,56
Pidgeot,Air Slash,62
Pidgeot,Hurricane,68
Togepi,Charm,1
Togepi,Growl,1
Togepi,Metronome,5
Togepi,Sweet Kiss,9
Togepi,Yawn,13
Togepi,Encore,17
Togepi,Follow Me,21
Togepi,Bestow,25
Togepi,Wish,29
Togepi,Ancient Power,33
Togepi,Safeguard,37
Togepi,Baton Pass,41
Togepi,Double-Edge,45
Togepi,Last Resort,49
Togepi,After You,53
Togetic,Metronome,5
Togetic,Sweet Kiss,9
Togetic,Yawn,13
Togetic,Fairy Wind,14
Togetic,Encore,17
Togetic,Follow Me,21
Togetic,Wish,29
Togetic,Ancient Power,33
Togetic,Safeguard,37
Togetic,Baton Pass,41
Togetic,Double-Edge,45
Togetic,Last Resort,49
Togetic,After You,53
Starly,Growl,1
Starly,Tackle,1
Starly,Quick Attack,5
Starly,Wing Attack,9
Starly,Double Team,13
Starly,Endeavor,17
Starly,Whirlwind,21
Starly,Aerial Ace,25
Starly,Take Down,29
Starly,Agility,33
Starly,Brave Bird,37
Starly,Final Gambit,41
Staravia,Quick Attack,5
Staravia,Wing Attack,9
Staravia,Double Team,13
Staravia,Endeavor,18
Staravia,Whirlwind,23
Staravia,Aerial Ace,28
Staravia,Take Down,33
Staravia,Agility,38
Staravia,Brave Bird,43
Staravia,Final Gambit,48
Staraptor,Quick Attack,5
Staraptor,Wing Attack,9
Staraptor,Double Team,13
Staraptor,Endeavor,18
Staraptor,Whirlwind,23
Staraptor,Aerial Ace,28
Staraptor,Take Down,33
Staraptor,Close Combat,34
Staraptor,Agility,41
Staraptor,Brave Bird,49
Staraptor,Final Gambit,57
Pidove,Gust,1
Pidove,Growl,4
Pidove,Leer,8
Pidove,Quick Attack,11
Pidove,Air Cutter,15
Pidove,Roost,18
Pidove,Detect,22
Pidove,Taunt,25
Pidove,Air Slash,29
Pidove,Razor Wind,32
Pidove,Feather Dance,36
Pidove,Swagger,39
Pidove,Facade,43
Pidove,Tailwind,46
Pidove,Sky Attack,50
Tranquill,Growl,4
Tranquill,Leer,8
Tranquill,Quick Attack,11
Tranquill,Air Cutter,15
Tranquill,Roost,18
Tranquill,Detect,23
Tranquill,Taunt,27
Tranquill,Air Slash,32
Tranquill,Razor Wind,36
Tranquill,Feather Dance,41
Tranquill,Swagger,45
Tranquill,Facade,50
Tranquill,Tailwind,54
Tranquill,Sky Attack,59
Unfezant,Growl,4
Unfezant,Leer,8
Unfezant,Quick Attack,11
Unfezant,Air Cutter,15
Unfezant,Roost,18
Unfezant,Detect,23
Unfezant,Taunt,27
Unfezant,Air Slash,33
Unfezant,Razor Wind,38
Unfezant,Feather Dance,44
Unfezant,Swagger,49
Unfezant,Facade,55
Unfezant,Tailwind,60
Unfezant,Sky Attack,66
Nidoran (F),Growl,1
Nidoran (F),Scratch,1
Nidoran (F),Tail Whip,7
Nidoran (F),Double Kick,9
Nidoran (F),Poison Sting,13
Nidoran (F),Fury Swipes,19
Nidoran (F),Bite,21
Nidoran (F),Helping Hand,25
Nidoran (F),Toxic Spikes,31
Nidoran (F),Flatter,33
Nidoran (F),Crunch,37
Nidoran (F),Captivate,43
Nidoran (F),Poison Fang,45
Nidorina,Tail Whip,7
Nidorina,Double Kick,9
Nidorina,Poison Sting,13
Nidorina,Fury Swipes,20
Nidorina,Bite,23
Nidorina,Helping Hand,28
Nidorina,Toxic Spikes,35
Nidorina,Flatter,38
Nidorina,Crunch,43
Nidorina,Captivate,50
Nidorina,Poison Fang,58
Nidoqueen,Chip Away,25
Nidoqueen,Body Slam,35
Nidoqueen,Earth Power,43
Nidoqueen,Superpower,58
Nidoran (M),Leer,1
Nidoran (M),Peck,1
Nidoran (M),Focus Energy,7
Nidoran (M),Double Kick,9
Nidoran (M),Poison Sting,13
Nidoran (M),Fury Attack,19
Nidoran (M),Horn Attack,21
Nidoran (M),Helping Hand,25
Nidoran (M),Toxic Spikes,31
Nidoran (M),Flatter,33
Nidoran (M),Poison Jab,37
Nidoran (M),Captivate,43
Nidoran (M),Horn Drill,45
Nidorino,Focus Energy,7
Nidorino,Double Kick,9
Nidorino,Poison Sting,13
Nidorino,Fury Attack,20
Nidorino,Horn Attack,23
Nidorino,Helping Hand,28
Nidorino,Toxic Spikes,35
Nidorino,Flatter,38
Nidorino,Poison Jab,43
Nidorino,Captivate,50
Nidorino,Horn Drill,58
Nidoking,Chip Away,25
Nidoking,Thrash,35
Nidoking,Earth Power,43
Nidoking,Megahorn,58
Zubat,Leech Life,1
Zubat,Supersonic,4
Zubat,Astonish,8
Zubat,Bite,12
Zubat,Wing Attack,15
Zubat,Confuse Ray,19
Zubat,Swift,23
Zubat,Air Cutter,26
Zubat,Acrobatics,30
Zubat,Mean Look,34
Zubat,Poison Fang,37
Zubat,Haze,41
Zubat,Air Slash,45
Golbat,Supersonic,4
Golbat,Astonish,8
Golbat,Bite,12
Golbat,Wing Attack,15
Golbat,Confuse Ray,19
Golbat,Swift,24
Golbat,Air Cutter,28
Golbat,Acrobatics,33
Golbat,Mean Look,38
Golbat,Poison Fang,42
Golbat,Haze,47
Golbat,Air Slash,52
Crobat,Supersonic,4
Crobat,Astonish,8
Crobat,Bite,12
Crobat,Wing Attack,15
Crobat,Confuse Ray,19
Crobat,Swift,24
Crobat,Air Cutter,28
Crobat,Acrobatics,33
Crobat,Mean Look,38
Crobat,Poison Fang,42
Crobat,Haze,47
Crobat,Air Slash,52
Cleffa,Charm,1
Cleffa,Pound,1
Cleffa,Encore,4
Cleffa,Sing,7
Cleffa,Sweet Kiss,10
Cleffa,Copycat,13
Cleffa,Magical Leaf,16
Clefairy,Encore,4
Clefairy,Sing,7
Clefairy,Double Slap,10
Clefairy,Defense Curl,13
Clefairy,Follow Me,16
Clefairy,Bestow,19
Clefairy,Wake-Up Slap,22
Clefairy,Minimize,25
Clefairy,Stored Power,28
Clefairy,Metronome,31
Clefairy,Cosmic Power,34
Clefairy,Lucky Chant,37
Clefairy,Body Slam,40
Clefairy,Moonlight,43
Clefairy,Moonblast,46
Clefairy,Gravity,49
Clefairy,Meteor Mash,52
Clefairy,Healing Wish,55
Clefairy,After You,58
Clefable,Encore,4
Clefable,Sing,7
Clefable,Double Slap,10
Clefable,Defense Curl,13
Clefable,Follow Me,16
Clefable,Bestow,19
Clefable,Wake-Up Slap,22
Clefable,Minimize,25
Clefable,Stored Power,28
Clefable,Metronome,31
Clefable,Cosmic Power,34
Clefable,Lucky Chant,37
Clefable,Body Slam,40
Clefable,Moonlight,43
Clefable,Moonblast,46
Clefable,Gravity,49
Clefable,Meteor Mash,52
Clefable,Healing Wish,55
Clefable,After You,58
Togekiss,Metronome,5
Togekiss,Sweet Kiss,9
Togekiss,Yawn,13
Togekiss,Fairy Wind,14
Togekiss,Encore,17
Togekiss,Follow Me,21
Togekiss,Wish,29
Togekiss,Ancient Power,33
Togekiss,Safeguard,37
Togekiss,Baton Pass,41
Togekiss,Double-Edge,45
Togekiss,Last Resort,49
Togekiss,After You,53
