MoveID,Name,Type,Frequency,AC,DamageBase,Class,Range,Details,Contest,PageNum,TM
32,Embargo,2,At-Will,2,0,Status,"6, 1 Target","The target cannot use or benefit from held items for the remainder of the encounter. Embargo may only affect one target at a time; if Embargo is used on a new target, the previous target is freed from the effect.",Cute - Sabotage,320,TM 63
33,Fake Tears,2,EOT,2,0,Status,"8, 1 Target",Lower the target's Special Defense 2 Combat Stages.,Smart - Excitement,320,
34,Feint Attack,2,At-Will,0,6,Physical,"Melee, 1 Target",Feint Attack cannot miss.,Smart - Desperation,321,
35,Flatter,2,At-Will,2,0,Status,"6, 1 Target",The target's Special Attack is raised by +1 Combat Stage. Flatter Confuses the target.,Smart - Excitement,321,
36,Fling,2,At-Will,2,0,Physical,"6, 1 Target, Fling","The user throws a held item, determining the effect of Fling.",Tough - Catching Up,321,TM 56
37,Foul Play,2,Scene x2,2,10,Physical,"Melee, 1 Target","The target reveals its Attack stat. When calculating damage, add the target's Attack stat instead of the user's Attack stat.",Smart - Steady Performance,321,
38,Hone Claws,2,At-Will,0,0,Status,Self,"The user's Accuracy is raised by +1, and the user gains +1 Attack Combat Stage.",Cool - Get Ready!,321,TM 01
39,Knock Off,2,Scene,2,7,Static,"Melee, 1 Target",You automatically Disarm the target; consumables Disarmed this way are destroyed.,Smart - Steady Performance,321,
40,Memento,2,Scene x1,0,0,Status,"8, 1 Target, Trigger, Free Action",Memento may be used as a Free Action that does not consume a Command action when the user becomes Fainted. Memento's target has each of their stats lowered by -2 CS.,Tough - Big Show,321,
41,Nasty Plot,2,EOT,0,0,Status,Self,Raise the user's Special Attack 2 Combat Stages.,Cute - Get Ready!,321,
42,Night Daze,2,EOT,3,9,Special,"4, 1 Target",The target's Accuracy is lowered by -1 on 13+.,Tough - Unsettling,322,
43,Night Slash,2,EOT,2,7,Physical,"Melee, Pass",Night Slash is a Critical Hit on 18+,Beauty - Steady Performance,322,
44,Parting Shot,2,At-Will,2,0,Status,"6, 1 Target","If Parting Shot successfully hits, the target's Attack and Special Attack stats are lowered by one Combat Stage and the user is immediately recalled in the same turn. A new Pokémon may immediately be sent out. Using Parting Shot lets a Trapped user be recalled.",Smart - Catching Up,322,
45,Payback,2,EOT,2,5,Physical,"Melee, 1 Target","If the target hit the user with a Damaging Move on the previous turn, Payback has a Damage Base of 10 instead.",Cool - Special Attention,322,TM 66
46,Punishment,2,EOT,2,6,Physical,"Melee, 1 Target","Punishment's Damage Base is raised by +1 for each positive Combat Stage the target has, to a maximum of DB 12.",Smart - Catching Up,322,
47,Pursuit,2,At-Will,2,4,Physical,"Melee, 1 Target","If the foe is fleeing or being switched out, Pursuit may be used as an Interrupt, targeting the triggering foe. When used as an Interrupt, Pursuit grants the user a +5 bonus to all Movement Speeds, and has a Damage Base of 8.",Smart - Good Show!,322,
48,Quash,2,At-Will,2,0,Status,"10, 1 Target",Quash changes the target's Initiative to 0 for the remainder of the round.,Smart - Saving Grace,322,TM 60
49,Snarl,2,EOT,3,6,Special,"Cone 2, Sonic",All Legal Targets have their Special Attack lowered 1 Combat Stage.,Cute - Excitement,322,TM 95
50,Snatch,2,Scene x2,0,0,Status,"6, 1 Target, Interrupt","If the target uses a Self-Targeting Move, you may use Snatch. You gain the benefits of the Self-Targeting Move instead of the target.",Smart - Attention Grabber,323,
51,Sucker Punch,2,At-Will,2,8,Physical,"Melee, 1 Target, Priority, Trigger","If an adjacent foe targets the user with a Damaging Attack, Sucker Punch may be used as a Priority Move against the triggering foe.",Smart - Saving Grace,323,
52,Switcheroo,2,At-Will,2,0,Status,"Melee, 1 Target",The user and the target exchange held items.,Cool - Attention Grabber,323,
53,Taunt,2,EOT,3,0,Status,"6, 1 Target",The target becomes Enraged.,Smart - Inversed Appeal,323,TM 12
54,Thief,2,At-Will,2,6,Physical,"Melee, 1 Target","Thief takes the target's held item and attaches it to Thief's user, if the user is not holding anything.",Tough - Attention Grabber,323,TM 46
55,Topsy-Turvy,2,EOT,4,0,Status,"6, 1 Target","The target's Combat Stages are inverted; +1 Stage becomes -1 Stage, -3 Stages becomes +3 Stages, etc.",Smart - Unsettling,323,
56,Torment,2,Scene x2,2,0,Status,"10, 1 Target",The target becomes Suppressed.,Tough - Inversed Appeal,323,TM 41
57,Draco Meteor,3,Scene,4,13,Special,"8, Ranged Blast 3, Smite",Lower the user's Special Attack 2 Combat Stages after damage.,Smart - Seen Nothing Yet,324,
58,Dragon Claw,3,At-Will,2,8,Physical,"Melee, 1 Target",None,Cool - Exhausting Act,324,TM 02
59,Dragon Dance,3,EOT,0,0,Status,Self,Raise the user's Attack 1 Combat Stage and raise the user's Speed 1 Combat Stage.,Cool - Get Ready!,324,
60,Dragon Pulse,3,EOT,2,9,Special,"8, 1 Target, Aura",None,Smart - Incentives,324,
61,Dragon Rage,3,At-Will,2,0,Special,"4, 1 Target","If it hits, Dragon Rage causes the target to lose 15 HP. Dragon Rage is Special and interacts with other moves and effects as such (Special Evasion may be applied to avoid it, Mirror Coat can reflect it, etc.).",Cool - Steady Performance,324,
62,Dragon Rush,3,At-Will,4,10,Physical,"Melee, 1 Target, Dash, Push",The target is Pushed 3 meters. Dragon Rush Flinches the target on 17+.,Cool - Desperation,324,
63,Dragon Tail,3,At-Will,3,6,Physical,"Melee, 1 Target, Push","The target is Pushed 6 meters minus their Weight Class. On a roll of 15+, the target is also Tripped.",Smart - Big Show,324,TM 82
64,Dragon Breath,3,EOT,2,6,Special,"6, 1 Target",Dragon Breath Paralyzes the Target on 15+.,Cool - Exhausting Act,324,
65,Dual Chop,3,EOT,3,5,Physical,"Melee, 1 Target, Double Strike",None,Tough - Reliable,325,
66,Outrage,3,Scene x2,3,12,Physical,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enraged and Confused.",Cool - Reliable,325,
67,Roar of Time,3,Daily x2,4,15,Special,"Burst 8, Smite, Exhaust","All legal targets are Slowed, even if the attack misses.",Cool - Seen Nothing Yet,325,
68,Spacial Rend,3,Daily x2,3,10,Special,"10, 1 Target",Spacial Rend is a Critical Hit on Even-Numbered Rolls.,Tough - Incentives,325,
69,Twister,3,At-Will,2,4,Special,"6, Ranged Blast 3","Small or Medium targets in the central square of the blast are not hit. Twister Flinches the target on 18-20 during Accuracy Check. Any Pokémon Airborne as a result of Fly or Sky Drop above the Blast are hit, ignoring range, and Twister has a Damage Base of 8 against those targets instead.",Cool - Steady Performance,325,
70,Bolt Strike,4,Scene x2,5,13,Physical,"10, 1 Target, Smite",Bolt Strike Paralyzes the target on 17+.,Cool - Exhausting Act,326,
71,Charge,4,EOT,0,0,Status,Self,"If the user performs an Electric Move on their next turn that deals damage, add its Damage Dice Roll an extra time to the damage. Raise the user's Special Defense 1 Combat Stage.",Smart - Get Ready!,326,
72,Charge Beam,4,At-Will,4,5,Special,"6, 1 Target","If Charge Beam successfully hits a target, roll 1d20. On a roll of 7+, the user's Special Attack is raised by +1 Combat Stage.",Beauty - Exhausting Act,326,TM 57
73,Discharge,4,EOT,2,8,Special,All Cardinally Adjacent Targets,Discharge Paralyzes all legal targets on 15+.,Cool - Exhausting Act,326,
74,Eerie Impulse,4,EOT,2,0,Status,"6, 1 Target",The target's Special Attack is lowered 2 Combat Stages. Grants Glow,Cool - Excitement,326,
75,Electric Terrain,4,Daily x2,0,0,Status,Field,"The field becomes Electrified for 5 rounds. While Electrified, Pokémon and Trainers touching the ground are immune to Sleep, and Electric-Type attacks used by Pokémon and Trainers touching the ground gain a +10 Bonus to Damage Rolls.",Cool - Sabotage,326,
76,Electrify,4,EOT,0,0,Status,"6, 1 Target","Until the end of the user's next turn, the target's damaging Water-Type attacks and Melee attacks of any Type deal Electric-Type Damage instead of their usual Type.",Cool - Sabotage,326,
77,Electro Ball,4,Scene x2,2,6,Special,"10, 1 Target","The user adds their Speed Stat, including Combat Stages, in addition to their Special Attack when determining the damage dealt by Electro Ball. The Defender in turn subtracts both their Special Defense and Speed Stats from the damage dealt before applying Type Effectiveness.",Beauty - Double Time,327,
78,Electroweb,4,EOT,3,6,Special,"4, Ranged Blast 2",All Legal Targets are lowered 1 Speed Combat Stage.,Smart - Sabotage,327,
79,Fusion Bolt,4,Scene x2,2,10,Physical,"8, 1 Target, Smite","If Fusion Flare was used this round or last round by any participant of the encounter, Fusion Bolt has its Damage Base increased by +3.",Beauty - Seen Nothing Yet,327,
80,Ion Deluge,4,Scene,0,0,Status,"5, Ranged Blast 3, Priority",Priority - An ion cloud is dispersed in the targeted area. All Normal-Type Moves targeting into or originating from the area become Electric-Typed Moves.,Smart - Attention Grabber,327,
81,Magnet Rise,4,Daily x2,2,0,Status,"Self, Swift Action",The user gains the Levitate Ability for 5 turns. Magnet Rise may be activated as a Swift Action if the user is otherwise given an action that consumes a Command. Grants Magnetic,Cute - Sabotage,327,
82,Magnetic Flux,4,Scene,0,0,Status,Burst 4,All targets with the Minus or Plus Ability have their Defense and Special Defense raised by +1 Combat Stage.,Smart - Incentives,327,
83,Nuzzle,4,Scene,2,2,Physical,"Melee, 1 Target",Nuzzle Paralyzes the target.,Cute - Double Time,327,
84,Parabolic Charge,4,Scene,4,5,Special,Cone 2,"After the targets take damage, the user gains Hit Points equal to half of the total damage they dealt to all targets.",Cool - Desperation,328,
85,Shock Wave,4,At-Will,0,6,Special,"6, 1 Target",Shock Wave cannot miss. Grants Zapper,Cool - Exhausting Act,328,
86,Spark,4,EOT,2,6,Physical,"Melee, 1 Target, Dash",Spark Paralyzes the target on 15+.,Cool - Steady Performance,328,
87,Thunder,4,Scene x2,7,11,Special,"12, 1 Target, Smite","Thunder Paralyzes its target on 19+. If the target is in Sunny Weather, Thunder's Accuracy Check is 11. If the target is in Rainy Weather, Thunder cannot miss. If the target is airborne as a result of Fly or Sky Drop, Thunder cannot miss.",Cool - Exhausting Act,328,TM 25
88,Thunder Fang,4,At-Will,3,7,Physical,"Melee, 1 Target","Thunder Fang Paralyzes or Flinches on 18- 19 during Accuracy Check; flip a coin to determine whether the foe gets Paralyzed or Flinches. On 20 during Accuracy Check, the foe is Paralyzed and Flinched.",Smart - Steady Performance,328,
89,Thunderbolt,4,EOT,2,9,Special,"4, 1 Target",Thunderbolt Paralyzes the target on 19+.,Cool - Exhausting Act,328,TM 24
90,Thunder Punch,4,At-Will,2,8,Physical,"Melee, 1 Target",Thunder Punch Paralyzes the target on 19+.,Cool - Exhausting Act,328,
91,Thunder Shock,4,At-Will,2,4,Special,"4, 1 Target",Thunder Shock Paralyzes the target on 17+. Grants Zapper,Cool - Steady Performance,328,
92,Thunder Wave,4,Scene x2,0,0,Status,"6, 1 Target",Thunder Wave cannot miss. Thunder Wave Paralyzes the target. Targets immune to Electric Attacks are immune to Thunder Wave's effects.,Cool - Excitement,329,TM 73
93,Volt Switch,4,At-Will,2,7,Special,"5, 1 Target","If Volt Switch successfully hits its target, the user deals damage and then immediately is returned to its Poké Ball in the same turn. A New Pokémon may immediately be sent out. Using Volt Switch lets a Trapped user be recalled.",Cute - Inversed Appeal,329,TM 72
94,Volt Tackle,4,Scene x2,2,12,Physical,"Melee, 1 Target, Dash, Recoil 1/3",Volt Tackle Paralyzes the target on 19+.,Cool - Seen Nothing Yet,329,
95,Wild Charge,4,At-Will,2,9,Physical,"Melee, 1 Target, Dash, Recoil 1/3",None.,Tough - Steady Performance,329,TM 93
96,Zap Cannon,4,At-Will,9,12,Special,"12, 1 Target",Zap Cannon Paralyzes the target. Zap Cannon ignores the target's Evasion if there are no other combatants or Rough or Blocking Terrain within 2 meters of the target.,Cool - Incentives,329,
97,Aromatic Mist,5,EOT,0,0,Status,Burst 1,All allies in Aromatic Mist's area of effect have their Special Defense raised 1 Combat Stage.,Cute - Get Ready!,330,
98,Baby-Doll Eyes,5,EOT,2,0,Status,"4, 1 Target, Priority",The target's Attack is lowered 1 Combat Stage.,Cute - Excitement,330,
99,Charm,5,EOT,2,0,Status,"6, 1 Target",Charm lowers the target's Attack 2 Combat Stages.,Cute - Excitement,330,
100,Crafty Shield,5,Scene,0,0,Status,"Burst 2, Interrupt, Shield, Trigger","If the user or an Ally adjacent to Crafty Shield's user is hit by a Status Move, you may use Crafty Shield as an Interrupt. All targets adjacent to Crafty Shield's user, including the user, are instead not hit by the triggering Move and do not suffer any of its effects.",Smart - Inversed Appeal,330,
101,Dazzling Gleam,5,EOT,2,8,Special,Cone 2,None,Cute - Exhausting Act,330,TM 99
102,Disarming Voice,5,At-Will,0,4,Special,Burst 1,Disarming Voice cannot miss.,Cute - Exhausting Act,330,
103,Draining Kiss,5,EOT,2,5,Special,"Melee, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",Cute - Good Show!,330,
104,Fairy Lock,5,Scene,0,0,Status,"Burst 3, Friendly",All legal targets become Trapped and Slowed while the user remains in the encounter. Switching or being knocked out both end this effect.,Cute - Unsettling,330,
105,Fairy Wind,5,At-Will,2,4,Special,"6, 1 Target",None,Cute - Steady Performance,331,
106,Flower Shield,5,Scene,0,0,Status,Burst 2,All Grass Type Pokémon in Flower Shield's area of effect have their Defense raised by +2 Combat Stages.,Cute - Get Ready!,331,
107,Geomancy,5,Scene,0,0,Status,"Self, Set-Up","Set-Up Effect: The user may not shift this round. The user may create as many squares of Rough Terrain as it wants within a Burst 3 as plants burst through the ground, regardless of the surface material. Resolution Effect: The user raises its Special Attack, Special Defense, and Speed by 2 Combat Stages each.",Beauty - Catching Up,331,
108,Lovely Kiss,5,Scene x2,6,0,Status,"6, 1 Target",The target falls Asleep.,Beauty - Excitement,331,
109,Misty Terrain,5,Daily x2,0,0,Status,Field,"The area becomes Misty for 5 turns. While Misty, all Pokémon and Trainers standing on the ground are immune to Status Afflictions, and Dragon-type attacks targeting or originating from a grounded Pokémon or Trainer take a -10 Penalty to Damage Rolls.",Beauty - Get Ready,331,
110,Moonblast,5,EOT,2,10,Special,"6, 1 Target",Moonblast lowers the target's Special Attack by 1 Combat Stage on 15+.,Beauty - Reflective Appeal,331,
111,Moonlight,5,Daily x2,0,0,Status,Self,"The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value.",Beauty - Reflective Appeal,331,
112,Play Rough,5,EOT,4,9,Physical,"Melee, 1 Target",Play Rough lowers the target's Attack 1 Combat Stage on 17-20 during Accuracy Check.,Cute - Excitement,331,
113,Arm Thrust,6,EOT,4,2,Physical,"Melee, 1 Target, Five Strike",None,Tough - Reliable,332,
114,Aura Sphere,6,EOT,0,8,Special,"8, 1 Target, Aura",Aura Sphere cannot miss.,Beauty - Exhausting Act,332,
115,Brick Break,6,At-Will,2,8,Physical,"Melee, 1 Target",Light Screen and Reflect may not be activated in response to Brick Break.,Cool - Steady Performance,332,TM 31
116,Bulk Up,6,EOT,0,0,Status,Self,Raise the user's Attack 1 Combat Stage and raise the user's Defense 1 Combat Stage.,Beauty - Get Ready!,332,TM 08
117,Circle Throw,6,At-Will,4,6,Physical,"Melee, 1 Target, Push","The target is Pushed 6 meters minus their Weight Class. On 15+, the target is also Tripped.",Tough - Big Show,332,
118,Close Combat,6,Scene x2,2,12,Physical,"Melee, 1 Target, Dash",The user's Defense and Special Defense are each lowered by -1 CS.,Smart - Seen Nothing Yet,332,
119,Counter,6,Scene x2,0,0,Physical,"Melee, 1 Target, Interrupt, Trigger","Counter may be used as an Interrupt when the user is hit by a damaging Physical Attack. Resolve the Triggering Attack, with Counter's user resisting the attack one step further. After the attack is resolved, if Counter's user was not Fainted, the triggering foe then loses HP equal to twice the amount of HP lost by the user from the triggering attack. Note that Counter is Physical, and while it cannot miss, it cannot hit targets immune to Fighting-Type Moves.",Tough - Double Time,332,
120,Cross Chop,6,Scene x2,4,10,Physical,"Melee, 1 Target",Cross Chop is a Critical Hit on 16+.,Cool - Desperation,333,
121,Detect,6,Scene,0,0,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by a Move, the user may use Detect. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects.",Cool - Inversed Appeal,333,
122,Double Kick,6,At-Will,3,3,Physical,"Melee, 1 Target, Double Strike",None,Cool - Reliable,333,
123,Drain Punch,6,Scene x2,2,8,Physical,"Melee, 1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",Beauty - Good Show!,333,
124,Dynamic Punch,6,At-Will,9,10,Physical,"Melee, 1 Target",Dynamic Punch Confuses the target. Dynamic Punch ignores the target's Evasion if they are Flanked.,Cool - Desperation,333,
125,Final Gambit,6,Scene,2,0,Status,"Melee, 1 Target",Final Gambit lowers the user to 0 Hit Points and causes them to Faint. Final Gambit deals deals 1 point of damage to the taret for every point of health lost by the user. Final Gambit does not cause items to activate.,Tough - Big Show,333,
126,Flying Press,6,At-Will,3,8,Physical,"Melee, Dash, 1 Target",Flying Press may deal Flying Type damage if the user wishes.,Tough - Big Show,333,
127,Focus Blast,6,Scene x2,7,12,Special,"6, 1 Target, Smite, Aura",Focus Blast lowers the target's Special Defense 1 Combat Stage on 18+.,Cool - Exhausting Act,334,TM 52
128,Focus Punch,6,EOT,2,15,Physical,"Melee, 1 Target, Priority","Use of Focus Punch must be declared as a Priority at the beginning of the round. Nothing happens at this time. At the end of the round, if the target hasn't been hit by a foe's attack, the user may Shift and use Focus Punch.",Tough - Special Attention,334,
129,Force Palm,6,At-Will,2,6,Physical,"Melee, 1 Target",Force Palm Paralyzes the target on 18+.,Cool - Desperation,334,
130,Hammer Arm,6,EOT,3,10,Physical,"Melee, 1 Target",The user lowers their Speed 1 Combat Stage.,Cool - Desperation,334,
131,High Jump Kick,6,EOT,3,13,Physical,"Melee, 1 Target","If High Jump Kick misses, the user loses Hit Points equal to 1/4rd of their Max Hit Points. A failure to hit due to a Move with the Shield keyword does not count as a miss. This Move cannot be used if Gravity is in effect.",Cool - Steady Performance,334,
132,Jump Kick,6,At-Will,3,10,Physical,"Melee, Dash, 1 Target","If Jump Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. A failure to hit due to a Move with the Protect keyword does not count as a miss. This Move cannot be used if Gravity is in effect.",Cool - Steady Performance,334,
133,Karate Chop,6,At-Will,2,5,Physical,"Melee, 1 Target",Karate Chop is a Critical Hit on 17+.,Tough - Steady Performance,334,
134,Low Kick,6,EOT,2,0,Physical,"Melee, 1 Target, Weight Class",Low Kick's Damage Base is equal to twice the target's Weight Class.,Tough - Steady Performance,335,
135,Low Sweep,6,EOT,2,7,Physical,"Melee, 1 Target",Lowers the target's Speed 1 Combat Stage.,Tough - Steady Performance,335,TM 47
136,Mach Punch,6,At-Will,2,4,Physical,"Melee, 1 Target, Priority","Priority - If the user has not yet taken their turn that round, Mach Punch may be declared during a foe's turn to immediately take your turn and use Mach Punch.",Cool - Saving Grace,335,
137,Mat Block,6,Daily,0,0,Status,"Self, Interrupt, Trigger","If the user or an adjacent ally is hit by a damaging attack, the user may use Mat Block. The attack instead does not hit any targets. You may only use Mat Block during the first round of an encounter.",Tough - Reflective Appeal,335,
138,Power-Up Punch,6,EOT,2,4,Physical,"Melee, 1 Target","If Power-Up Punch successfully hits a target, the user's Attack is raised by +1 Combat Stage",Tough - Catching Up,335,TM 98
139,Quick Guard,6,Scene,0,0,Status,"Melee, Interrupt, Shield, Trigger","If the user or an adjacent ally is targeted by a Priority or Interrupt Attack, Quick Guard may be declared as an Interrupt, causing the triggering attack to miss all targets.",Cool - Inversed Appeal,335,
140,Revenge,6,EOT,2,6,Physical,"Melee, 1 Target, Priority","When declaring Revenge, the user does nothing and may not Shift. At the end of the round, the user may shift and use Revenge. If the target has damaged the user this round, Revenge has a Damage Base of 12.",Tough - Double Time,335,
141,Reversal,6,EOT,2,7,Physical,"Melee, 1 Target","For each Injury the user has, Reversal's Damage Base is increased by +1.",Cool - Double Time,335,
142,Rock Smash,6,At-Will,2,4,Physical,"Melee, 1 Target",Rock Smash lowers the target's Defense 1 Combat Stage on 17+.,Tough - Desperation,336,TM 94
143,Rolling Kick,6,At-Will,4,6,Physical,"Melee, 1 Target",Rolling Kick Flinches the target on 15+.,Cool - Steady Performance,336,
144,Sacred Sword,6,EOT,0,8,Physical,"Melee, 1 Target",Sacred Sword cannot miss.,Cool - Steady Performance,336,
145,Secret Sword,6,At-Will,2,8,Physical,"Melee, 1 Target",The user adds their Special Attack instead of Attack Stat when calculating damage for Secret Sword.,Cool - Steady Performance,336,
146,Seismic Toss,6,Scene x2,2,0,Status,"Melee, 1 Target",The target loses Hit Points equal to the level of Seismic Toss' user.,Tough - Steady Performance,336,
147,Sky Uppercut,6,At-Will,4,9,Physical,"Melee, 1 Target","Sky Uppercut may be used as an Interrupt when against a target initiating Bounce, Fly, or Sky Drop. If Sky Uppercut successfully hits its target, the triggering Move fails (though the target may take their next turn normally).",Cool - Exhausting Act,336,
148,Storm Throw,6,EOT,2,6,Physical,"Melee, 1 Target","If Storm Throw hits, it is a Critical Hit.",Cool - Steady Performance,336,
149,Submission,6,At-Will,6,8,Physical,"Melee, 1 Target, Recoil 1/3","On an accuracy roll of 15+, the target is Tripped.",Cool - Steady Performance,336,
150,Superpower,6,Scene x2,2,12,Physical,"Melee, 1 Target, Dash",Superpower lowers the user's Attack and Defense by 1 Combat Stage each.,Tough - Desperation,337,
151,Triple Kick,6,At-Will,3,0,Physical,"Melee, 1 Target","Make three attacks with Triple Kick. If you hit once, Triple Kick has a DB of 1. If you hit two times, Triple Kick has a DB of 3. If you hit three times, Triple Kick has a DB of 6.",Cool - Reliable,337,
152,Vacuum Wave,6,At-Will,2,4,Special,"4, 1 Target, Priority, Aura","Priority - If the user has not yet taken their turn that round, Vacuum Wave may be declared during a foe's turn to immediately take your turn and use Vacuum Wave.",Smart - Saving Grace,337,
