PokemonName,MoveName
Sceptile,Hidden Power
Sceptile,Sunny Day
Sceptile,Hyper Beam
Sceptile,Protect
Sceptile,Safeguard
Sceptile,Frustration
Sceptile,Solar Beam
Sceptile,Earthquake
Sceptile,Return
Sceptile,Dig
Sceptile,Brick Break
Sceptile,Double Team
Sceptile,Rock Tomb
Sceptile,Aerial Ace
Sceptile,Facade
Sceptile,Rest
Sceptile,Attract
Sceptile,Low Sweep
Sceptile,Round
Sceptile,Focus Blast
Sceptile,Energy Ball
Sceptile,False Swipe
Sceptile,Fling
Sceptile,Acrobatics
Sceptile,Giga Impact
Sceptile,Flash
Sceptile,Swords Dance
Sceptile,Bulldoze
Sceptile,Rock Slide
Sceptile,X-Scissor
Sceptile,Grass Knot
Sceptile,Swagger
Sceptile,Sleep Talk
Sceptile,Substitute
Sceptile,Rock Smash
Sceptile,Nature Power
Sceptile,Power-Up Punch
Sceptile,Confide
Turtwig,Cut
Turtwig,Strength
Turtwig,Toxic
Turtwig,Hidden Power
Turtwig,Sunny Day
Turtwig,Light Screen
Turtwig,Protect
Turtwig,Safeguard
Turtwig,Frustration
Turtwig,Solar Beam
Turtwig,Return
Turtwig,Double Team
Turtwig,Reflect
Turtwig,Facade
Turtwig,Rest
Turtwig,Attract
Turtwig,Round
Turtwig,Energy Ball
Turtwig,Flash
Turtwig,Swords Dance
Turtwig,Grass Knot
Turtwig,Swagger
Turtwig,Sleep Talk
Turtwig,Substitute
Turtwig,Rock Smash
Grotle,Cut
Grotle,Strength
Grotle,Toxic
Grotle,Hidden Power
Grotle,Sunny Day
Grotle,Light Screen
Grotle,Protect
Grotle,Safeguard
Grotle,Frustration
Grotle,Solar Beam
Grotle,Return
Grotle,Double Team
Grotle,Reflect
Grotle,Facade
Grotle,Rest
Grotle,Attract
Grotle,Round
Grotle,Energy Ball
Grotle,Flash
Grotle,Swords Dance
Grotle,Grass Knot
Grotle,Swagger
Grotle,Sleep Talk
Grotle,Substitute
Grotle,Rock Smash
Torterra,Cut
Torterra,Strength
Torterra,Roar
Torterra,Toxic
Torterra,Hidden Power
Torterra,Sunny Day
Torterra,Hyper Beam
Torterra,Light Screen
Torterra,Protect
Torterra,Safeguard
Torterra,Frustration
Torterra,Solar Beam
Torterra,Earthquake
Torterra,Return
Torterra,Double Team
Torterra,Reflect
Torterra,Sandstorm
Torterra,Rock Tomb
Torterra,Facade
Torterra,Rest
Torterra,Attract
Torterra,Round
Torterra,Energy Ball
Torterra,Giga Impact
Torterra,Rock Polish
Torterra,Flash
Torterra,Stone Edge
Torterra,Swords Dance
Torterra,Bulldoze
Torterra,Rock Slide
Torterra,Grass Knot
Torterra,Swagger
Torterra,Sleep Talk
Torterra,Substitute
Torterra,Rock Smash
Snivy,Cut
Snivy,Calm Mind
Snivy,Toxic
Snivy,Hidden Power
Snivy,Sunny Day
Snivy,Taunt
Snivy,Light Screen
Snivy,Protect
Snivy,Safeguard
Snivy,Frustration
Snivy,Solar Beam
Snivy,Return
Snivy,Double Team
Snivy,Reflect
Snivy,Aerial Ace
Snivy,Torment
Snivy,Facade
Snivy,Rest
Snivy,Attract
Snivy,Round
Snivy,Energy Ball
Snivy,Flash
Snivy,Swords Dance
Snivy,Grass Knot
Snivy,Swagger
Snivy,Sleep Talk
Snivy,Substitute
Snivy,Nature Power
Servine,Cut
Servine,Calm Mind
Servine,Toxic
Servine,Hidden Power
Servine,Sunny Day
Servine,Taunt
Servine,Light Screen
Servine,Protect
Servine,Safeguard
Servine,Frustration
Servine,Solar Beam
Servine,Return
Servine,Double Team
Servine,Reflect
Servine,Aerial Ace
Servine,Torment
Servine,Facade
Servine,Rest
Servine,Attract
Servine,Round
Servine,Energy Ball
Servine,Flash
Servine,Swords Dance
Servine,Grass Knot
Servine,Swagger
Servine,Sleep Talk
Servine,Substitute
Servine,Nature Power
Serperior,Cut
Serperior,Strength
Serperior,Calm Mind
Serperior,Toxic
Serperior,Hidden Power
Serperior,Sunny Day
Serperior,Taunt
Serperior,Hyper Beam
Serperior,Light Screen
Serperior,Protect
Serperior,Safeguard
Serperior,Frustration
Serperior,Solar Beam
Serperior,Return
Serperior,Double Team
Serperior,Reflect
Serperior,Aerial Ace
Serperior,Torment
Serperior,Facade
Serperior,Rest
Serperior,Attract
Serperior,Round
Serperior,Energy Ball
Serperior,Giga Impact
Serperior,Flash
Serperior,Swords Dance
Serperior,Dragon Tail
Serperior,Grass Knot
Serperior,Swagger
Serperior,Sleep Talk
Serperior,Substitute
Serperior,Rock Smash
Serperior,Nature Power
Charmander,Cut
Charmander,Strength
Charmander,Hone Claws
Charmander,Dragon Claw
Charmander,Toxic
Charmander,Hidden Power
Charmander,Sunny Day
Charmander,Protect
Charmander,Frustration
Charmander,Return
Charmander,Dig
Charmander,Brick Break
Charmander,Double Team
Charmander,Flamethrower
Charmander,Fire Blast
Charmander,Rock Tomb
Charmander,Aerial Ace
Charmander,Facade
Charmander,Flame Charge
Charmander,Rest
Charmander,Attract
Charmander,Round
Charmander,Echoed Voice
Charmander,Overheat
Charmander,Fling
Charmander,Incinerate
Charmander,Will-O-Wisp
Charmander,Shadow Claw
Charmander,Swords Dance
Charmander,Rock Slide
Charmander,Swagger
Charmander,Sleep Talk
Charmander,Substitute
Charmander,Rock Smash
Charmander,Power-Up Punch
Charmander,Confide
Charmeleon,Cut
Charmeleon,Strength
Charmeleon,Hone Claws
Charmeleon,Dragon Claw
Charmeleon,Toxic
Charmeleon,Hidden Power
Charmeleon,Sunny Day
Charmeleon,Protect
Charmeleon,Frustration
Charmeleon,Return
Charmeleon,Dig
Charmeleon,Brick Break
Charmeleon,Double Team
Charmeleon,Flamethrower
Charmeleon,Fire Blast
Charmeleon,Rock Tomb
Charmeleon,Aerial Ace
Charmeleon,Facade
Charmeleon,Flame Charge
Charmeleon,Rest
Charmeleon,Attract
Charmeleon,Round
Charmeleon,Echoed Voice
Charmeleon,Overheat
Charmeleon,Fling
Charmeleon,Incinerate
Charmeleon,Will-O-Wisp
Charmeleon,Shadow Claw
Charmeleon,Swords Dance
Charmeleon,Rock Slide
Charmeleon,Swagger
Charmeleon,Sleep Talk
Charmeleon,Substitute
Charmeleon,Rock Smash
Charmeleon,Power-Up Punch
Charmeleon,Confide
Charizard,Cut
Charizard,Fly
Charizard,Strength
Charizard,Hone Claws
Charizard,Dragon Claw
Charizard,Roar
Charizard,Toxic
Charizard,Hidden Power
Charizard,Sunny Day
Charizard,Hyper Beam
Charizard,Protect
Charizard,Roost
Charizard,Frustration
Charizard,Solar Beam
Charizard,Earthquake
Charizard,Return
Charizard,Dig
Charizard,Brick Break
Charizard,Double Team
Charizard,Flamethrower
Charizard,Fire Blast
Charizard,Rock Tomb
Charizard,Aerial Ace
Charizard,Facade
Charizard,Flame Charge
Charizard,Rest
Charizard,Attract
Charizard,Round
Charizard,Echoed Voice
Charizard,Overheat
Charizard,Steel Wing
Charizard,Focus Blast
Charizard,Fling
Charizard,Sky Drop
Charizard,Incinerate
Charizard,Will-O-Wisp
Charizard,Shadow Claw
Charizard,Giga Impact
Charizard,Swords Dance
Charizard,Bulldoze
Charizard,Rock Slide
Charizard,Dragon Tail
Charizard,Swagger
Charizard,Sleep Talk
Charizard,Substitute
Charizard,Rock Smash
Charizard,Power-Up Punch
Charizard,Confide
Cyndaquil,Cut
Cyndaquil,Toxic
Cyndaquil,Hidden Power
Cyndaquil,Sunny Day
Cyndaquil,Protect
Cyndaquil,Frustration
Cyndaquil,Return
Cyndaquil,Dig
Cyndaquil,Double Team
Cyndaquil,Flamethrower
Cyndaquil,Fire Blast
Cyndaquil,Aerial Ace
Cyndaquil,Facade
Cyndaquil,Flame Charge
Cyndaquil,Rest
Cyndaquil,Attract
Cyndaquil,Round
Cyndaquil,Overheat
Cyndaquil,Incinerate
Cyndaquil,Will-O-Wisp
Cyndaquil,Swagger
Cyndaquil,Sleep Talk
Cyndaquil,Substitute
Cyndaquil,Wild Charge
Cyndaquil,Nature Power
Quilava,Cut
Quilava,Strength
Quilava,Roar
Quilava,Toxic
Quilava,Hidden Power
Quilava,Sunny Day
Quilava,Protect
Quilava,Frustration
Quilava,Return
Quilava,Dig
Quilava,Brick Break
Quilava,Double Team
Quilava,Flamethrower
Quilava,Fire Blast
Quilava,Aerial Ace
Quilava,Facade
Quilava,Flame Charge
Quilava,Rest
Quilava,Attract
Quilava,Round
Quilava,Overheat
Quilava,Incinerate
Quilava,Will-O-Wisp
Quilava,Swagger
Quilava,Sleep Talk
Quilava,Substitute
Quilava,Wild Charge
Quilava,Rock Smash
Quilava,Nature Power
Typhlosion,Cut
Typhlosion,Strength
Typhlosion,Roar
Typhlosion,Toxic
Typhlosion,Hidden Power
Typhlosion,Sunny Day
Typhlosion,Hyper Beam
Typhlosion,Protect
Typhlosion,Frustration
Typhlosion,Solar Beam
Typhlosion,Earthquake
Typhlosion,Return
Typhlosion,Dig
Typhlosion,Brick Break
Typhlosion,Double Team
Typhlosion,Flamethrower
Typhlosion,Fire Blast
Typhlosion,Rock Tomb
Typhlosion,Aerial Ace
Typhlosion,Facade
Typhlosion,Flame Charge
Typhlosion,Rest
Typhlosion,Attract
Typhlosion,Round
Typhlosion,Overheat
Typhlosion,Focus Blast
Typhlosion,Fling
Typhlosion,Incinerate
Typhlosion,Will-O-Wisp
Typhlosion,Shadow Claw
Typhlosion,Giga Impact
Typhlosion,Gyro Ball
Typhlosion,Bulldoze
Typhlosion,Rock Slide
Typhlosion,Swagger
Typhlosion,Sleep Talk
Typhlosion,Substitute
Typhlosion,Wild Charge
Typhlosion,Rock Smash
Typhlosion,Power-Up Punch
Typhlosion,Confide
Torchic,Cut
Torchic,Strength
Torchic,Hone Claws
Torchic,Toxic
Torchic,Hidden Power
Torchic,Sunny Day
Torchic,Protect
Torchic,Frustration
Torchic,Return
Torchic,Dig
Torchic,Double Team
Torchic,Flamethrower
Torchic,Fire Blast
Torchic,Rock Tomb
Torchic,Aerial Ace
Torchic,Facade
Torchic,Flame Charge
Torchic,Rest
Torchic,Attract
Torchic,Round
Torchic,Echoed Voice
Torchic,Overheat
Torchic,Incinerate
Torchic,Will-O-Wisp
Torchic,Shadow Claw
Torchic,Swords Dance
Torchic,Rock Slide
Torchic,Swagger
Torchic,Sleep Talk
Torchic,Substitute
Torchic,Rock Smash
Torchic,Power-Up Punch
Torchic,Confide
Combusken,Cut
Combusken,Strength
Combusken,Hone Claws
Combusken,Toxic
Combusken,Bulk Up
Combusken,Hidden Power
Combusken,Sunny Day
Combusken,Protect
Combusken,Frustration
Combusken,Return
Combusken,Dig
Combusken,Brick Break
Combusken,Double Team
Combusken,Flamethrower
Combusken,Fire Blast
Combusken,Rock Tomb
Combusken,Aerial Ace
Combusken,Facade
Combusken,Flame Charge
Combusken,Rest
Combusken,Attract
Combusken,Low Sweep
Combusken,Round
Combusken,Echoed Voice
Combusken,Overheat
Combusken,Focus Blast
Combusken,Fling
Combusken,Incinerate
Combusken,Will-O-Wisp
Combusken,Shadow Claw
Combusken,Swords Dance
Combusken,Rock Slide
Combusken,Poison Jab
Combusken,Swagger
Combusken,Sleep Talk
Combusken,Substitute
Combusken,Rock Smash
Combusken,Power-Up Punch
Combusken,Confide
Blaziken,Cut
Blaziken,Strength
Blaziken,Hone Claws
Blaziken,Roar
Blaziken,Toxic
Blaziken,Bulk Up
Blaziken,Hidden Power
Blaziken,Sunny Day
Blaziken,Hyper Beam
Blaziken,Protect
Blaziken,Frustration
Blaziken,Solar Beam
Blaziken,Earthquake
Blaziken,Return
Blaziken,Dig
Blaziken,Brick Break
Blaziken,Double Team
Blaziken,Flamethrower
Blaziken,Fire Blast
Blaziken,Rock Tomb
Blaziken,Aerial Ace
Blaziken,Facade
Blaziken,Flame Charge
Blaziken,Rest
Blaziken,Attract
Blaziken,Low Sweep
Blaziken,Round
Blaziken,Echoed Voice
Blaziken,Overheat
Blaziken,Focus Blast
Blaziken,Fling
Blaziken,Incinerate
Blaziken,Will-O-Wisp
Blaziken,Acrobatics
Blaziken,Shadow Claw
Blaziken,Giga Impact
Blaziken,Stone Edge
Blaziken,Swords Dance
Blaziken,Bulldoze
Blaziken,Rock Slide
Blaziken,Poison Jab
Blaziken,Swagger
Blaziken,Sleep Talk
Blaziken,Substitute
Blaziken,Rock Smash
Blaziken,Power-Up Punch
Blaziken,Confide
Chimchar,Cut
Chimchar,Strength
Chimchar,Hone Claws
Chimchar,Toxic
Chimchar,Bulk Up
Chimchar,Hidden Power
Chimchar,Sunny Day
Chimchar,Taunt
Chimchar,Protect
Chimchar,Frustration
Chimchar,Return
Chimchar,Dig
Chimchar,Brick Break
Chimchar,Double Team
Chimchar,Flamethrower
Chimchar,Fire Blast
Chimchar,Aerial Ace
Chimchar,Torment
Chimchar,Facade
Chimchar,Flame Charge
Chimchar,Rest
Chimchar,Attract
Chimchar,Low Sweep
Chimchar,Round
Chimchar,Overheat
Chimchar,Fling
Chimchar,Incinerate
Chimchar,Will-O-Wisp
Chimchar,Acrobatics
Chimchar,Shadow Claw
Chimchar,Swords Dance
Chimchar,Grass Knot
Chimchar,Swagger
Chimchar,Sleep Talk
Chimchar,U-Turn
Chimchar,Substitute
Chimchar,Rock Smash
Chimchar,Power-Up Punch
Chimchar,Confide
Monferno,Cut
Monferno,Strength
Monferno,Hone Claws
Monferno,Toxic
Monferno,Bulk Up
Monferno,Hidden Power
Monferno,Sunny Day
Monferno,Taunt
Monferno,Protect
Monferno,Frustration
Monferno,Return
Monferno,Dig
Monferno,Brick Break
Monferno,Double Team
Monferno,Flamethrower
Monferno,Fire Blast
Monferno,Rock Tomb
Monferno,Aerial Ace
Monferno,Torment
Monferno,Facade
Monferno,Flame Charge
Monferno,Rest
Monferno,Attract
Monferno,Low Sweep
Monferno,Round
Monferno,Overheat
Monferno,Focus Blast
Monferno,Fling
Monferno,Incinerate
Monferno,Will-O-Wisp
Monferno,Acrobatics
Monferno,Shadow Claw
Monferno,Retaliate
Monferno,Swords Dance
Monferno,Rock Slide
Monferno,Poison Jab
Monferno,Grass Knot
Monferno,Swagger
Monferno,Sleep Talk
Monferno,U-Turn
Monferno,Substitute
Monferno,Rock Smash
Monferno,Power-Up Punch
Monferno,Confide
Infernape,Cut
Infernape,Strength
Infernape,Hone Claws
Infernape,Calm Mind
Infernape,Roar
Infernape,Toxic
Infernape,Bulk Up
Infernape,Hidden Power
Infernape,Sunny Day
Infernape,Taunt
Infernape,Hyper Beam
Infernape,Protect
Infernape,Frustration
Infernape,Solar Beam
Infernape,Earthquake
Infernape,Return
Infernape,Dig
Infernape,Brick Break
Infernape,Double Team
Infernape,Flamethrower
Infernape,Fire Blast
Infernape,Rock Tomb
Infernape,Aerial Ace
Infernape,Torment
Infernape,Facade
Infernape,Flame Charge
Infernape,Rest
Infernape,Attract
Infernape,Low Sweep
Infernape,Round
Infernape,Overheat
Infernape,Focus Blast
Infernape,Fling
Infernape,Incinerate
Infernape,Will-O-Wisp
Infernape,Acrobatics
Infernape,Shadow Claw
Infernape,Retaliate
Infernape,Giga Impact
Infernape,Stone Edge
Infernape,Swords Dance
Infernape,Bulldoze
Infernape,Rock Slide
Infernape,Poison Jab
Infernape,Grass Knot
Infernape,Swagger
Infernape,Sleep Talk
Infernape,U-Turn
Infernape,Substitute
Infernape,Rock Smash
Infernape,Power-Up Punch
Infernape,Confide
Tepig,Strength
Tepig,Roar
Tepig,Toxic
Tepig,Hidden Power
Tepig,Sunny Day
Tepig,Taunt
Tepig,Protect
Tepig,Frustration
Tepig,Solar Beam
Tepig,Return
Tepig,Double Team
Tepig,Flamethrower
Tepig,Fire Blast
Tepig,Rock Tomb
Tepig,Facade
Tepig,Flame Charge
Tepig,Rest
Tepig,Attract
Tepig,Round
Tepig,Echoed Voice
Tepig,Overheat
Tepig,Incinerate
Tepig,Will-O-Wisp
Tepig,Gyro Ball
Tepig,Grass Knot
Tepig,Swagger
Tepig,Sleep Talk
Tepig,Substitute
Tepig,Wild Charge
Tepig,Rock Smash
Pignite,Strength
Pignite,Roar
Pignite,Toxic
Pignite,Hidden Power
Pignite,Sunny Day
Pignite,Taunt
Pignite,Protect
Pignite,Frustration
Pignite,Solar Beam
Pignite,Return
Pignite,Brick Break
Pignite,Double Team
Pignite,Flamethrower
Pignite,Fire Blast
Pignite,Rock Tomb
Pignite,Facade
Pignite,Flame Charge
Pignite,Rest
Pignite,Attract
Pignite,Low Sweep
Pignite,Round
Pignite,Echoed Voice
Pignite,Overheat
Pignite,Focus Blast
Pignite,Fling
Pignite,Incinerate
Pignite,Will-O-Wisp
Pignite,Stone Edge
Pignite,Gyro Ball
Pignite,Bulldoze
Pignite,Rock Slide
Pignite,Poison Jab
Pignite,Grass Knot
Pignite,Swagger
Pignite,Sleep Talk
Pignite,Substitute
Pignite,Wild Charge
Pignite,Rock Smash
Pignite,Power-Up Punch
Pignite,Confide
Emboar,Strength
Emboar,Roar
Emboar,Toxic
Emboar,Bulk Up
Emboar,Hidden Power
Emboar,Sunny Day
Emboar,Taunt
Emboar,Hyper Beam
Emboar,Protect
Emboar,Frustration
Emboar,Solar Beam
Emboar,Smack Down
Emboar,Earthquake
Emboar,Return
Emboar,Brick Break
Emboar,Double Team
Emboar,Flamethrower
Emboar,Fire Blast
Emboar,Rock Tomb
Emboar,Facade
Emboar,Flame Charge
Emboar,Rest
Emboar,Attract
Emboar,Low Sweep
Emboar,Round
Emboar,Echoed Voice
Emboar,Overheat
Emboar,Focus Blast
Emboar,Scald
Emboar,Fling
Emboar,Incinerate
Emboar,Will-O-Wisp
Emboar,Giga Impact
Emboar,Stone Edge
Emboar,Gyro Ball
Emboar,Bulldoze
Emboar,Rock Slide
Emboar,Poison Jab
Emboar,Grass Knot
Emboar,Swagger
Emboar,Sleep Talk
Emboar,Substitute
Emboar,Wild Charge
Emboar,Rock Smash
Emboar,Power-Up Punch
Emboar,Confide
Squirtle,Surf
Squirtle,Strength
Squirtle,Waterfall
Squirtle,Dive
Squirtle,Toxic
Squirtle,Hail
Squirtle,Hidden Power
Squirtle,Ice Beam
Squirtle,Blizzard
Squirtle,Protect
Squirtle,Rain Dance
Squirtle,Frustration
Squirtle,Return
Squirtle,Dig
Squirtle,Brick Break
Squirtle,Double Team
Squirtle,Rock Tomb
Squirtle,Facade
Squirtle,Rest
Squirtle,Attract
Squirtle,Round
Squirtle,Scald
Squirtle,Fling
Squirtle,Gyro Ball
Squirtle,Swagger
Squirtle,Sleep Talk
Squirtle,Substitute
Squirtle,Rock Smash
Squirtle,Power-Up Punch
Squirtle,Confide
Wartortle,Surf
Wartortle,Strength
Wartortle,Waterfall
Wartortle,Dive
Wartortle,Toxic
Wartortle,Hail
Wartortle,Hidden Power
Wartortle,Ice Beam
Wartortle,Blizzard
Wartortle,Protect
Wartortle,Rain Dance
Wartortle,Frustration
Wartortle,Return
Wartortle,Dig
Wartortle,Brick Break
Wartortle,Double Team
Wartortle,Rock Tomb
Wartortle,Facade
Wartortle,Rest
Wartortle,Attract
Wartortle,Round
Wartortle,Scald
Wartortle,Fling
Wartortle,Gyro Ball
Wartortle,Swagger
Wartortle,Sleep Talk
Wartortle,Substitute
Wartortle,Rock Smash
Wartortle,Power-Up Punch
Wartortle,Confide
Blastoise,Surf
Blastoise,Strength
Blastoise,Waterfall
Blastoise,Dive
Blastoise,Roar
Blastoise,Toxic
Blastoise,Hail
Blastoise,Hidden Power
Blastoise,Ice Beam
Blastoise,Blizzard
Blastoise,Hyper Beam
Blastoise,Protect
Blastoise,Rain Dance
Blastoise,Frustration
Blastoise,Smack Down
Blastoise,Earthquake
Blastoise,Return
Blastoise,Dig
Blastoise,Brick Break
Blastoise,Double Team
Blastoise,Rock Tomb
Blastoise,Facade
Blastoise,Rest
Blastoise,Attract
Blastoise,Round
Blastoise,Focus Blast
Blastoise,Scald
Blastoise,Fling
Blastoise,Giga Impact
Blastoise,Gyro Ball
Blastoise,Bulldoze
Blastoise,Rock Slide
Blastoise,Dragon Tail
Blastoise,Swagger
Blastoise,Sleep Talk
Blastoise,Substitute
Blastoise,Flash Cannon
Blastoise,Rock Smash
Blastoise,Dark Pulse
Blastoise,Power-Up Punch
Blastoise,Confide
Totodile,Cut
Totodile,Surf
Totodile,Waterfall
Totodile,Dive
Totodile,Hone Claws
Totodile,Dragon Claw
Totodile,Toxic
Totodile,Hail
Totodile,Hidden Power
Totodile,Ice Beam
Totodile,Blizzard
Totodile,Protect
Totodile,Rain Dance
Totodile,Frustration
Totodile,Return
Totodile,Dig
Totodile,Brick Break
Totodile,Double Team
Totodile,Rock Tomb
Totodile,Aerial Ace
Totodile,Facade
Totodile,Rest
Totodile,Attract
Totodile,Round
Totodile,Scald
Totodile,Fling
Totodile,Shadow Claw
Totodile,Swords Dance
Totodile,Rock Slide
Totodile,Swagger
Totodile,Sleep Talk
Totodile,Substitute
Totodile,Power-Up Punch
Totodile,Confide
Croconaw,Cut
Croconaw,Surf
Croconaw,Strength
Croconaw,Waterfall
Croconaw,Dive
Croconaw,Hone Claws
Croconaw,Dragon Claw
Croconaw,Roar
Croconaw,Toxic
Croconaw,Hail
Croconaw,Hidden Power
Croconaw,Ice Beam
Croconaw,Blizzard
Croconaw,Protect
Croconaw,Rain Dance
Croconaw,Frustration
Croconaw,Return
Croconaw,Dig
Croconaw,Brick Break
Croconaw,Double Team
Croconaw,Rock Tomb
Croconaw,Aerial Ace
Croconaw,Facade
Croconaw,Rest
Croconaw,Attract
Croconaw,Round
Croconaw,Scald
Croconaw,Fling
Croconaw,Shadow Claw
Croconaw,Swords Dance
Croconaw,Rock Slide
Croconaw,Swagger
Croconaw,Sleep Talk
Croconaw,Substitute
Croconaw,Rock Smash
Croconaw,Power-Up Punch
Croconaw,Confide
Feraligatr,Cut
Feraligatr,Surf
Feraligatr,Strength
Feraligatr,Waterfall
Feraligatr,Dive
Feraligatr,Hone Claws
Feraligatr,Dragon Claw
Feraligatr,Roar
Feraligatr,Toxic
