"Number","Name","Type1","Type2","Male","Female","WeightClass","Size","BaseHP","BaseAtk","BaseDef","BaseSpAtk","BaseSpDef","BaseSpeed","NumberEvols","Capabilities","Skills","MinimumLevel"
17,"Pidgeotto",13,8,50,50,3,"Medium",6,6,6,5,5,7,1,"Overland 3, Swim 2, Sky 7, Jump 2/2, Power 3, Intelligence 3, Underdog","Athl 3d6+1, Acro 3d6+2, Combat 3d6, Stealth 2d6+2, Percep 3d6+2, Focus 3d6",15
18,"Pidgeot",13,8,50,50,3,"Large",8,8,8,7,7,10,0,"Overland 4, Swim 3, Sky 9, Jump 3/3, Power 5, Intelligence 4, Guster, Mountable 1","Athl 4d6+2, Acro 4d6+1, Combat 4d6+1, Stealth 2d6, Percep 4d6+3, Focus 4d6",30
19,"Rattata",13,0,50,50,1,"Small",3,6,4,3,4,7,1,"Overland 6, Swim 4, Jump 2/2, Power 1, Intelligence 3, Stealth, Underdog","Athl 1d6, Acro 3d6, Combat 2d6+2, Stealth 4d6, Percep 3d6, Focus 2d6",1
20,"Raticate",13,0,50,50,2,"Small",6,8,6,5,7,10,0,"Overland 7, Swim 6, Jump 2/2, Power 3, Intelligence 4, Tracker, Stealth","Athl 3d6, Acro 3d6, Combat 3d6+2, Stealth 4d6, Percep 5d6, Focus 3d6",20
21,"Spearow",13,8,50,50,1,"Small",4,6,3,3,3,7,1,"Overland 4, Swim 2, Sky 5, Jump 3/3, Power 1, Intelligence 3, Underdog","Athl 2d6, Acro 2d6, Combat 3d6, Stealth 2d6+1, Percep 3d6, Focus 3d6",1
22,"Fearow",13,8,50,50,3,"Medium",7,9,7,6,6,10,0,"Overland 5, Swim 3, Sky 8, Jump 3/3, Power 5, Intelligence 4, Mountable 1","Athl 4d6, Acro 3d6, Combat 4d6+2, Stealth 2d6, Percep 3d6, Focus 4d6",20
23,"Ekans",14,0,50,50,1,"Medium",4,6,4,4,5,6,1,"Overland 5, Swim 3, Jump 1/1, Power 1, Intelligence 3, Darkvision, Stealth, Underdog","Athl 2d6+1, Acro 2d6, Combat 2d6, Stealth 3d6+1, Percep 2d6, Focus 2d6",1
24,"Arbok",14,0,50,50,4,"Medium",6,9,7,7,8,8,0,"Overland 6, Swim 4, Jump 1/2, Power 3, Intelligence 4, Darkvision, Stealth","Athl 4d6, Acro 3d6, Combat 3d6+2, Stealth 4d6+1, Percep 2d6+2, Focus 3d6",20
25,"Pikachu",4,0,50,50,1,"Small",4,6,4,5,5,9,1,"Overland 7, Swim 2, Jump 2/2, Power 2, Intelligence 4, Zapper, Underdog","Athl 3d6, Acro 3d6+1, Combat 2d6, Stealth 3d6+1, Percep 2d6+1, Focus 3d6+2",10
26,"Raichu",4,0,50,50,3,"Small",6,9,6,9,8,11,0,"Overland 6, Swim 3, Jump 2/2, Power 4, Intelligence 4, Zapper","Athl 4d6+1, Acro 2d6+1, Combat 4d6, Stealth 3d6, Percep 2d6+1, Focus 4d6+3",10
27,"Sandshrew",11,0,50,50,2,"Small",5,8,9,2,3,4,1,"Overland 5, Swim 2, Burrow 5, Jump 1/1, Power 3, Intelligence 3, Tremorsense, Underdog","Athl 3d6, Acro 2d6, Combat 2d6, Stealth 3d6+1, Percep 2d6+1, Focus 2d6+1",1
28,"Sandslash",11,0,50,50,3,"Medium",8,10,11,5,6,7,0,"Overland 6, Swim 3, Burrow 6, Jump 1/2, Power 4, Intelligence 4, Groundshaper, Tremorsense","Athl 4d6+1, Acro 3d6, Combat 4d6+1, Stealth 4d6+1, Percep 3d6+1, Focus 3d6+1",20
29,"Nidoran (F)",14,0,0,100,1,"Small",6,5,5,4,4,4,2,"Overland 5, Swim 3, Burrow 2, Jump 1/1, Power 2, Intelligence 3, Underdog","Athl 2d6+1, Acro 2d6, Combat 3d6-1, Stealth 3d6+1, Percep 2d6, Focus 2d6",1
30,"Nidorina",14,0,0,100,2,"Small",7,6,7,6,6,6,1,"Overland 6, Swim 4, Burrow 3, Jump 1/2, Power 5, Intelligence 3, Underdog","Athl 4d6+1, Acro 3d6, Combat 3d6+3, Stealth 2d6, Percep 2d6, Focus 3d6",15
31,"Nidoqueen",14,11,0,100,4,"Medium",9,9,9,8,9,8,0,"Overland 6, Swim 4, Burrow 2, Jump 1/2, Power 8, Intelligence 4, Groundshaper, Pack Mon, Mountable 1","Athl 5d6+2, Acro 2d6, Combat 4d6+2, Stealth 1d6+1, Percep 3d6+1, Focus 4d6+2",25
32,"Nidoran (M)",14,0,100,0,1,"Small",5,6,4,4,4,5,2,"Overland 5, Swim 3, Burrow 2, Jump 1/1, Power 2, Intelligence 3, Underdog","Athl 2d6+1, Acro 2d6, Combat 3d6-1, Stealth 3d6+1, Percep 2d6, Focus 2d6",1
33,"Nidorino",14,0,100,0,2,"Small",6,7,6,6,6,7,1,"Overland 6, Swim 4, Burrow 3, Jump 1/2, Power 5, Intelligence 3, Underdog","Athl 4d6+1, Acro 3d6, Combat 3d6+3, Stealth 2d6, Percep 2d6, Focus 3d6",15
34,"Nidoking",14,11,100,0,4,"Medium",8,10,8,9,8,9,0,"Overland 6, Swim 4, Burrow 2, Jump 1/2, Power 9, Intelligence 4, Groundshaper, Pack Mon, Mountable 1","Athl 5d6+3, Acro 2d6, Combat 4d6+2, Stealth 1d6, Percep 3d6, Focus 4d6",25
35,"Clefairy",5,0,25,75,1,"Small",7,5,5,6,7,4,1,"Overland 5, Swim 3, Jump 1/2, Power 2, Intelligence 3, Underdog","Athl 2d6+1, Acro 3d6, Combat 2d6, Stealth 3d6, Percep 2d6+1, Focus 3d6+2",10
36,"Clefable",5,0,25,75,3,"Medium",10,7,7,10,9,6,0,"Overland 6, Swim 4, Jump 2/2, Power 4, Intelligence 4","Athl 3d6, Acro 3d6+2, Combat 2d6+2, Stealth 3d6, Percep 4d6+1, Focus 4d6+3",10
37,"Vulpix",7,0,25,75,1,"Small",4,4,4,5,7,7,1,"Overland 4, Swim 2, Jump 1/2, Power 2 Intelligence 4, Tracker, Underdog","Athl 3d6+1, Acro 2d6, Combat 2d6, Stealth 3d6+2, Percep 2d6+1, Focus 3d6+1",1
38,"Ninetales",7,0,25,75,2,"Medium",7,8,8,8,10,10,0,"Overland 6, Swim 3, Jump 1/2, Power 4 Intelligence 5, Firestarter, Tracker","Athl 4d6+2, Acro 3d6+2, Combat 3d6+2, Stealth 4d6+3, Percep 4d6+2, Focus 5d6+2",1
39,"Jigglypuff",13,5,25,75,1,"Small",12,5,2,5,3,2,1,"Overland 5, Swim 2, Jump 1/1, Power 1, Intelligence 3, Inflatable, Underdog","Athl 2d6+1, Acro 3d6+1, Combat 2d6, Stealth 3d6, Percep 2d6+2, Focus 3d6+2",10
40,"Wigglytuff",13,5,25,75,2,"Medium",14,7,5,9,5,5,0,"Overland 6, Swim 3, Jump 1/2, Power 3, Intelligence 4, Inflatable","Athl 3d6+1, Acro 4d6+1, Combat 2d6+2, Stealth 2d6+2, Percep 3d6+2, Focus 4d6+3",10
41,"Zubat",14,8,50,50,1,"Small",4,5,4,3,4,6,2,"Overland 2, Swim 1, Sky 5, Jump 1/1, Power 1, Intelligence 3, Blindsense, Tracker, Underdog","Athl 1d6+2, Acro 2d6+2, Combat 2d6, Stealth 3d6, Percep 1d6+2, Focus 2d6",1
42,"Golbat",14,8,50,50,4,"Medium",8,8,7,7,8,9,1,"Overland 3, Swim 2, Sky 5, Jump 1/1, Power 3, Intelligence 4, Darkvision, Tracker, Underdog","Athl 2d6+2, Acro 3d6+2, Combat 3d6, Stealth 3d6, Percep 2d6, Focus 3d6",20
43,"Oddish",10,14,50,50,1,"Small",5,5,6,8,7,3,2,"Overland 4, Swim 2, Burrow 1, Jump 1/1, Power 1, Intelligence 2, Naturewalk (Grassland, Forest), Underdog","Athl 2d6, Acro 2d6, Combat 1d6+2, Stealth 4d6, Percep 2d6, Focus 2d6",1
44,"Gloom",10,14,50,50,1,"Small",6,7,7,9,8,4,1,"Overland 5, Swim 2, Jump 1/1 Power 2, Intelligence 3, Naturewalk (Grassland, Forest), Underdog","Athl 3d6, Acro 2d6, Combat 2d6+1, Stealth 3d6, Percep 2d6, Focus 3d6+1",20
45,"Vileplume",10,14,50,50,2,"Medium",8,8,9,11,9,5,0,"Overland 5, Swim 3, Jump 1/1 Power 2, Intelligence 4, Naturewalk (Grassland, Forest)","Athl 3d6+1, Acro 2d6+1, Combat 3d6+3, Stealth 4d6, Percep 3d6, Focus 4d6+1",20
46,"Paras",1,10,50,50,1,"Small",4,7,6,5,6,3,1,"Overland 4, Swim 2, Burrow 2, Jump 1/1, Power 1, Intelligence 3, Darkvision, Mushroom Harvest, Naturewalk (Grassland, Forest), Wallclimber, Underdog","Athl 2d6, Acro 1d6+2, Combat 2d6, Stealth 3d6, Percep 3d6, Focus 3d6",1
47,"Parasect",1,10,50,50,1,"Medium",6,10,8,6,8,3,0,"Overland 6, Swim 2, Burrow 3, Jump 1/1, Power 3, Intelligence 2, Darkvision, Mushroom Harvest, Naturewalk (Grassland, Forest), Planter (Herbs)","Athl 3d6, Acro 2d6, Combat 3d6, Stealth 3d6-3, Percep 1d6, Focus 4d6",20
48,"Venonat",1,14,50,50,3,"Medium",6,6,5,4,6,5,1,"Overland 4, Swim 2, Jump 1/2, Power 1, Intelligence 3, Naturewalk (Grassland, Forest), Underdog","Athl 2d6-1, Acro 2d6, Combat 2d6, Stealth 2d6, Percep 3d6+2, Focus 3d6",1
49,"Venomoth",1,14,50,50,2,"Medium",7,7,6,9,8,9,0,"Overland 2, Swim 2, Sky 6, Jump 1/2, Power 2, Intelligence 4","Athl 2d6, Acro 3d6, Combat 2d6, Stealth 3d6, Percep 4d6+2, Focus 4d6+1",30
50,"Diglett",11,0,50,50,1,"Small",1,6,3,4,5,10,1,"Overland 1, Burrow 7, Jump 0/0, Power 1, Intelligence 3, Tremorsense, Underdog","Athl 2d6, Acro 2d6, Combat 2d6, Stealth 3d6+2, Percep 3d6+1, Focus 3d6+1",1
51,"Dugtrio",11,0,50,50,3,"Small",4,8,5,5,7,12,0,"Overland 2, Burrow 9, Jump 0/0, Power 4, Intelligence 3, Groundshaper, Tremorsense","Athl 3d6, Acro 3d6, Combat 2d6, Stealth 5d6+2, Percep 4d6+1, Focus 4d6+1",25
52,"Meowth",13,0,50,50,1,"Small",4,5,4,4,4,9,1,"Overland 5, Swim 2, Jump 1/1, Power 2, Intelligence 3, Tracker, Stealth, Underdog, Fortune","Athl 1d6, Acro 3d6, Combat 2d6, Stealth 4d6, Percep 4d6, Focus 3d6",1
53,"Persian",13,0,50,50,3,"Medium",7,7,6,7,7,12,0,"Overland 7, Swim 3, Jump 2/2, Power 3, Intelligence 4, Pack Mon, Tracker, Stealth","Athl 3d6, Acro 4d6, Combat 4d6, Stealth 4d6, Percep 3d6, Focus 4d6",25
54,"Psyduck",18,0,50,50,2,"Small",5,5,5,7,5,6,1,"Overland 3, Swim 4, Jump 1/1, Power 1, Intelligence 4, Telekinetic, Underdog","Athl 2d6, Acro 1d6, Combat 1d6, Stealth 1d6, Percep 1d6, Focus 4d6",1
55,"Golduck",18,0,50,50,4,"Medium",8,8,8,10,8,9,0,"Overland 5, Swim 6, Jump 2/2, Power 5, Intelligence 5, Telepath, Telekinetic","Athl 4d6, Acro 4d6, Combat 3d6, Stealth 3d6, Percep 3d6, Focus 4d6",30
56,"Mankey",6,0,50,50,3,"Small",4,8,4,4,5,7,1,"Overland 6, Swim 2, Jump 2/2, Power 4, Intelligence 3, Underdog","Athl 3d6+2, Acro 3d6+2, Combat 2d6+2, Stealth 3d6, Percep 2d6, Focus 1d6",1
57,"Primeape",6,0,50,50,3,"Medium",7,11,6,6,7,10,0,"Overland 7, Swim 3, Jump 3/4, Power 6, Intelligence 4","Athl 5d6+2, Acro 4d6+2, Combat 4d6+1, Stealth 2d6, Percep 3d6, Focus 2d6",25
58,"Growlithe",7,0,75,25,2,"Small",6,7,5,7,5,6,1,"Overland 5, Swim 2, Jump 1/2, Power 3, Intelligence 3, Tracker, Underdog","Athl 3d6+2, Acro 2d6, Combat 2d6, Stealth 3d6+1, Percep 3d6+1, Focus 2d6",1
59,"Arcanine",7,0,75,25,5,"Large",9,11,8,10,8,10,0,"Overland 8, Swim 4, Jump 2/3, Power 8 Intelligence 4, Firestarter, Tracker, Mountable 1","Athl 6d6+3, Acro 3d6+1, Combat 4d6, Stealth 2d6+2, Percep 5d6+2, Focus 3d6+1",1
60,"Poliwag",18,0,50,50,2,"Small",4,5,4,4,4,9,2,"Overland 3, Swim 4, Jump 1/1, Power 2, Intelligence 3, Fountain, Gilled, Underdog","Athl 2d6+1, Acro 2d6, Combat 1d6, Stealth 2d6, Percep 2d6+1, Focus 2d6",1
61,"Poliwhirl",18,0,50,50,2,"Medium",7,7,7,5,5,9,1,"Overland 4, Swim 5, Jump 1/2, Power 4, Intelligence 4, Fountain, Gilled, Underdog","Athl 3d6+1, Acro 3d6+2, Combat 3d6, Stealth 2d6+1, Percep 2d6+1, Focus 3d6+2",25
62,"Poliwrath",18,6,50,50,4,"Medium",9,10,10,7,9,7,0,"Overland 7, Swim 7, Jump 1/2, Power 5, Intelligence 5, Fountain, Gilled","Athl 5d6+2, Acro 3d6+3, Combat 4d6+1, Stealth 2d6+1, Percep 3d6+1, Focus 4d6+2",25
63,"Abra",15,0,75,25,2,"Small",3,2,2,11,6,9,2,"Overland 3, Swim 1, Teleporter 2, Jump 1/1, Power 1, Intelligence 4, Telekinetic, Telepath, Underdog","Athl 1d6, Acro 2d6, Combat 1d6, Stealth 2d6+1, Percep 4d6, Focus 3d6+2",1
64,"Kadabra",15,0,75,25,4,"Medium",4,4,3,12,7,11,1,"Overland 5, Swim 2, Teleporter 2, Jump 2/1, Power 3, Intelligence 5, Telekinetic, Telepath, Underdog","Athl 2d6, Acro 2d6, Combat 2d6, Stealth 2d6, Percep 4d6, Focus 4d6+4",15
65,"Alakazam",15,0,75,25,3,"Medium",6,5,5,14,10,12,0,"Overland 6, Swim 3, Teleporter 3, Jump 2/1, Power 4, Intelligence 7, Telekinetic, Telepath","Athl 2d6+2, Acro 2d6, Combat 3d6, Stealth 2d6, Percep 4d6+2, Focus 6d6",35
66,"Machop",6,0,75,25,2,"Small",7,8,5,4,4,4,2,"Overland 5, Swim 4, Jump 2/2, Power 5, Intelligence 3, Underdog","Athl 3d6, Acro 3d6, Combat 3d6+2, Stealth 2d6, Percep 2d6, Focus 2d6",1
67,"Machoke",6,0,75,25,4,"Medium",8,10,7,5,6,5,1,"Overland 6, Swim 4, Jump 2/2, Power 8, Intelligence 3, Underdog","Athl 4d6, Acro 2d6+2, Combat 4d6+2, Stealth 2d6, Percep 2d6+2, Focus 3d6",25
68,"Machamp",6,0,75,25,5,"Medium",9,13,8,7,9,6,0,"Overland 8, Swim 5, Jump 3/2, Power 10, Intelligence 4","Athl 6d6, Acro 2d6+2, Combat 6d6, Stealth 2d6, Percep 2d6+2, Focus 3d6+2",40
69,"Bellsprout",10,14,50,50,1,"Small",5,8,4,7,3,4,2,"Overland 4, Swim 3, Burrow 1, Jump 1/1, Power 1, Intelligence 2, Naturewalk (Grassland, Forest), Underdog","Athl 2d6, Acro 3d6+2, Combat 2d6+1, Stealth 3d6+2, Percep 2d6, Focus 2d6",1
70,"Weepinbell",10,14,50,50,1,"Medium",7,9,5,9,5,6,1,"Overland 5, Swim 3, Jump 1/1 Power 2, Intelligence 3, Naturewalk (Grassland, Forest), Underdog","Athl 3d6, Acro 2d6, Combat 3d6, Stealth 3d6, Percep 2d6, Focus 3d6",20
71,"Victreebel",10,14,50,50,2,"Medium",8,11,7,10,7,7,0,"Overland 6, Swim 3, Jump 1/1 Power 4, Intelligence 4, Naturewalk (Grassland, Forest)","Athl 4d6+1, Acro 2d6, Combat 4d6, Stealth 3d6, Percep 3d6, Focus 4d6",20
72,"Tentacool",18,14,50,50,3,"Small",4,4,4,5,10,7,1,"Overland 1, Swim 5, Jump 1/1, Power 2, Intelligence 3, Gilled, Underdog","Athl 2d6+1, Acro 2d6, Combat 2d6, Stealth 3d6, Percep 2d6, Focus 2d6",1
73,"Tentacruel",18,14,50,50,4,"Medium",8,7,7,8,12,10,0,"Overland 3, Swim 7, Jump 1/1, Power 6, Intelligence 4, Gilled, Reach 2","Athl 4d6+2, Acro 2d6, Combat 4d6, Stealth 2d6, Percep 2d6, Focus 3d6",20
74,"Geodude",16,11,50,50,2,"Small",4,8,10,3,3,2,2,"Overland 4, Swim 2, Levitate 3, Burrow 3, Jump 0/1, Power 3, Intelligence 2, Underdog","Athl 3d6+2, Acro 2d6, Combat 2d6+2, Stealth 2d6, Percep 2d6, Focus 3d6+1",1
75,"Graveler",16,11,50,50,5,"Medium",6,10,12,5,5,4,1,"Overland 5, Swim 3, Burrow 3, Jump 0/1, Power 8, Intelligence 3, Groundshaper, Underdog","Athl 4d6+2, Acro 2d6, Combat 3d6+2, Stealth 2d6, Percep 3d6, Focus 4d6+1",25
76,"Golem",16,11,50,50,6,"Medium",8,12,13,6,7,5,0,"Overland 6, Swim 3, Jump 1/2, Power 10, Intelligence 4, Groundshaper","Athl 5d6+4, Acro 2d6, Combat 4d6+2, Stealth 2d6, Percep 3d6+2, Focus 4d6+1",35
77,"Ponyta",7,0,50,50,3,"Medium",5,9,6,7,7,9,1,"Overland 7, Swim 2, Jump 1/2, Power 3 Intelligence 3, Egg Warmer, Firestarter, Glow, Heater, Mountable 1, Underdog","Athl 3d6+2, Acro 3d6+1, Combat 2d6, Stealth 2d6, Percep 3d6+1, Focus 2d6+1",1
78,"Rapidash",7,0,50,50,4,"Large",7,10,7,8,8,11,0,"Overland 10, Swim 4, Jump 2/3, Power 6 Intelligence 4, Egg Warmer, Firestarter, Glow, Heater, Mountable 2","Athl 6d6+4, Acro 4d6+2, Combat 2d6, Stealth 2d6, Percep 5d6+2, Focus 4d6+2",35
79,"Slowpoke",18,15,50,50,3,"Medium",9,7,7,4,4,2,1,"Overland 1, Swim 2, Jump 1/1, Power 2, Intelligence 2, Underdog","Athl 2d6, Acro 1d6, Combat 1d6, Stealth 1d6, Percep 1d6, Focus 4d6",1
80,"Slowbro",18,15,50,50,4,"Medium",10,8,11,10,8,3,0,"Overland 3, Swim 4, Jump 1/1, Power 7, Intelligence 3","Athl 4d6+1, Acro 1d6+1, Combat 3d6, Stealth 1d6, Percep 1d6, Focus 5d6+2",35
81,"Magnemite",4,17,0,0,1,"Small",3,4,7,10,6,5,2,"Overland 2, Swim 3, Levitate 4, Jump 1/1, Power 2, Intelligence 3, Dead Silent, Magnetic, Zapper, Underdog","Athl 2d6+1, Acro 3d6, Combat 2d6, Stealth 3d6, Percep 2d6+1, Focus 2d6+1",1
82,"Magneton",4,17,0,0,4,"Medium",5,6,10,12,7,7,1,"Overland 3, Swim 4, Levitate 5, Jump 1/1, Power 4, Intelligence 4, Dead Silent, Magnetic, Zapper","Athl 3d6, Acro 2d6+1, Combat 2d6+2, Stealth 2d6+1, Percep 3d6+2, Focus 3d6+2",30
83,"Farfetch'd",13,8,50,50,2,"Small",5,7,6,6,6,6,0,"Overland 3, Swim 2, Sky 7, Jump 2/2, Power 3, Intelligence 4, Underdog, Wielder","Athl 4d6+1, Acro 4d6+2, Combat 4d6, Stealth 4d6+2, Percep 4d6+2, Focus 3d6+2",1
84,"Doduo",13,8,50,50,3,"Medium",4,9,5,4,4,8,1,"Overland 7, Swim 2, Jump 4/5, Power 4, Intelligence 4, Underdog","Athl 3d6, Acro 3d6, Combat 2d6, Stealth 2d6, Percep 4d6, Focus 2d6-2",1
85,"Dodrio",13,8,50,50,4,"Medium",6,11,7,6,6,10,0,"Overland 9, Swim 4, Sky 2, Jump 5/7, Power 6, Intelligence 5, Mountable 1","Athl 4d6, Acro 4d6, Combat 3d6, Stealth 2d6, Percep 6d6, Focus 2d6-3",30
86,"Seel",18,0,50,50,4,"Medium",7,5,6,5,7,5,1,"Overland 4, Swim 5, Jump 1/1, Power 3, Intelligence 3, Naturewalk (Tundra), Underdog","Athl 3d6, Acro 2d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 2d6+1",1
87,"Dewgong",18,12,50,50,5,"Medium",9,7,8,7,10,7,0,"Overland 5, Swim 7, Jump 1/1, Power 5, Intelligence 4, Freezer, Naturewalk (Tundra)","Athl 4d6+2, Acro 2d6, Combat 2d6, Stealth 1d6+1, Percep 2d6+1, Focus 3d6+2",30
88,"Grimer",14,0,50,50,3,"Small",8,8,5,4,5,3,1,"Overland 4, Swim 3, Jump 1/1, Power 2, Intelligence 3, Amorphous, Dead Silent, Wallclimber, Underdog","Athl 2d6+1, Acro 1d6, Combat 2d6, Stealth 3d6+1, Percep 2d6, Focus 2d6",1
89,"Muk",14,0,50,50,3,"Medium",11,11,8,7,10,5,0,"Overland 5, Swim 4, Jump 1/1, Power 6, Intelligence 4, Amorphous, Dead Silent, Wallclimber","Athl 4d6+1, Acro 1d6, Combat 3d6, Stealth 2d6, Percep 2d6, Focus 3d6+2",35
90,"Shellder",18,0,50,50,1,"Small",3,7,10,5,3,4,1,"Overland 1, Swim 3, Jump 0/0, Power 1, Intelligence 3, Gilled, Underdog","Athl 1d6+1, Acro 1d6, Combat 1d6, Stealth 3d6, Percep 2d6, Focus 2d6",1
91,"Cloyster",18,12,50,50,5,"Medium",5,10,18,9,5,7,0,"Overland 2, Swim 5, Jump 0/0, Power 4, Intelligence 4, Freezer, Gilled","Athl 2d6+1, Acro 1d6, Combat 3d6, Stealth 1d6+1, Percep 2d6, Focus 3d6",1
92,"Gastly",9,14,50,50,1,"Medium",3,4,3,10,4,8,2,"Overland 1, Swim 2, Levitate 4, Jump 1/1, Power 1, Intelligence 4, Darkvision, Dead Silent, Invisibility, Phasing, Underdog","Athl 1d6, Acro 3d6+3, Combat 2d6, Stealth 3d6+2, Percep 3d6, Focus 2d6",1
93,"Haunter",9,14,50,50,1,"Medium",5,5,5,12,6,10,1,"Overland 2, Swim 2, Levitate 4, Jump 1/2, Power 3, Intelligence 4, Darkvision, Dead Silent, Invisibility, Phasing, Underdog","Athl 1d6, Acro 4d6+3, Combat 3d6, Stealth 4d6+2, Percep 3d6, Focus 3d6+2",20
94,"Gengar",9,14,50,50,3,"Medium",6,7,6,13,8,11,0,"Overland 5, Swim 3, Levitate 5, Jump 2/3, Power 4, Intelligence 5, Darkvision, Dead Silent, Invisibility, Phasing, Shadow Meld","Athl 2d6, Acro 4d6+3, Combat 4d6+2, Stealth 5d6+2, Percep 3d6, Focus 4d6+2",35
95,"Onix",16,11,50,50,6,"Huge",4,5,16,3,5,7,1,"Overland 7, Swim 4, Burrow 7, Jump 2/3, Power 10, Intelligence 3, Groundshaper, Reach 3, Mountable 5, Tremorsense, Underdog","Athl 4d6+2, Acro 2d6, Combat 2d6, Stealth 2d6, Percep 3d6, Focus 4d6+1",1
